location,commodity,acres,yield,price,unit,price_unit
06021,"WHEAT, WINTER, IRRIGATED",1729,92.71,5.77,BU / ACRE,$ / BU
06063,"HAY, ALFALFA, IRRIGATED",6782,3.32,189.00,TONS / ACRE,$ / TON
41001,"WHEAT, WINTER",7793,85.62,6.72,BU / ACRE,$ / BU
41071,"HAYLAGE, ALFALFA, IRRIGATED",40,13.39,38.000,TONS / ACRE,$ / TON
53043,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED",963,4.14,190.25,TONS / ACRE,$ / TON
53039,OATS,90,43.56,2.98,BU / ACRE,$ / BU
53017,POTATOES,1,622.00,7.45,CWT / ACRE,$ / CWT
53047,"WHEAT, WINTER",8927,43.66,6.49,BU / ACRE,$ / BU
16025,"BARLEY, NON-IRRIGATED",13244,15.13,5.33,BU / ACRE,$ / BU
16047,"CORN, SILAGE, IRRIGATED",52382,27.03,5.240,TONS / ACRE,$ / TON
16083,"SUGARBEETS, NON-IRRIGATED",0,34.89,48.40,TONS / ACRE,$ / TON
30081,"WHEAT, WINTER, NON-IRRIGATED",706,22.57,6.39,BU / ACRE,$ / BU
53033,"CORN, SILAGE",1945,22.46,5.380,TONS / ACRE,$ / TON
06055,POTATOES,4,408.50,13.44,CWT / ACRE,$ / CWT
41059,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), NON-IRRIGATED",2193,2.63,189.38,TONS / ACRE,$ / TON
16059,"HAYLAGE, ALFALFA, IRRIGATED",133,2.32,34.876,TONS / ACRE,$ / TON
06047,BARLEY,3561,45.64,5.09,BU / ACRE,$ / BU
53073,"HAYLAGE, ALFALFA, NON-IRRIGATED",314,8.71,37.250,TONS / ACRE,$ / TON
16075,"CORN, GRAIN, IRRIGATED",7446,191.15,5.24,BU / ACRE,$ / BU
41015,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), NON-IRRIGATED",441,2.68,189.38,TONS / ACRE,$ / TON
41063,"BARLEY, NON-IRRIGATED",2369,38.00,4.21,BU / ACRE,$ / BU
53045,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",1392,2.20,190.25,TONS / ACRE,$ / TON
41045,"WHEAT, WINTER, NON-IRRIGATED",4563,59.96,6.72,BU / ACRE,$ / BU
53021,"HAY, ALFALFA, NON-IRRIGATED",0,2.07,186.25,TONS / ACRE,$ / TON
16073,POTATOES,527,520.00,7.20,CWT / ACRE,$ / CWT
06039,"CORN, GRAIN, IRRIGATED",2104,186.07,5.19,BU / ACRE,$ / BU
53011,"CORN, SILAGE, IRRIGATED",187,21.12,5.380,TONS / ACRE,$ / TON
06039,"CORN, SILAGE",22266,25.59,5.190,TONS / ACRE,$ / TON
06113,"BEANS, DRY EDIBLE",2602,2321.00,0.549,LB / ACRE,$ / LB
16063,"HAY, ALFALFA, IRRIGATED",24266,4.64,174.38,TONS / ACRE,$ / TON
41005,"CORN, GRAIN, NON-IRRIGATED",3,61.20,5.30,BU / ACRE,$ / BU
53005,"CORN, SILAGE, IRRIGATED",1361,27.66,5.380,TONS / ACRE,$ / TON
06019,"HAY, ALFALFA, IRRIGATED",61682,7.39,189.00,TONS / ACRE,$ / TON
53029,"HAY, ALFALFA, IRRIGATED",182,4.72,186.25,TONS / ACRE,$ / TON
06023,POTATOES,82,408.50,13.44,CWT / ACRE,$ / CWT
41033,"HAY, ALFALFA",361,3.32,190.00,TONS / ACRE,$ / TON
53001,"WHEAT, WINTER, IRRIGATED",27733,114.77,6.49,BU / ACRE,$ / BU
53061,BARLEY,386,64.28,4.11,BU / ACRE,$ / BU
41059,"HAYLAGE, ALFALFA, NON-IRRIGATED",0,4.21,38.000,TONS / ACRE,$ / TON
30001,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED",13473,1.91,109.38,TONS / ACRE,$ / TON
06017,POTATOES,2,408.50,13.44,CWT / ACRE,$ / CWT
41061,"CORN, GRAIN, IRRIGATED",378,93.53,5.30,BU / ACRE,$ / BU
53027,POTATOES,13,380.00,7.45,CWT / ACRE,$ / CWT
41059,"WHEAT, WINTER, NON-IRRIGATED",204988,58.39,6.72,BU / ACRE,$ / BU
16059,"OATS, IRRIGATED",138,48.14,2.80,BU / ACRE,$ / BU
16031,"HAY, ALFALFA, IRRIGATED",46154,5.14,174.38,TONS / ACRE,$ / TON
53039,BARLEY,797,51.10,4.11,BU / ACRE,$ / BU
41043,BARLEY,35,48.72,4.21,BU / ACRE,$ / BU
41061,"BARLEY, IRRIGATED",1314,81.72,4.21,BU / ACRE,$ / BU
30099,"HAYLAGE, ALFALFA",611,1.83,22.100,TONS / ACRE,$ / TON
16047,"CORN, GRAIN, NON-IRRIGATED",0,165.30,5.24,BU / ACRE,$ / BU
41067,"WHEAT, WINTER, NON-IRRIGATED",12949,92.86,6.72,BU / ACRE,$ / BU
30063,"HAY, ALFALFA, IRRIGATED",5695,2.68,110.50,TONS / ACRE,$ / TON
41071,OATS,4303,80.67,3.40,BU / ACRE,$ / BU
53031,POTATOES,6,380.00,7.45,CWT / ACRE,$ / CWT
53017,"CORN, GRAIN, IRRIGATED",275,210.00,5.38,BU / ACRE,$ / BU
53027,"CORN, SILAGE, IRRIGATED",730,24.28,5.380,TONS / ACRE,$ / TON
41045,"CORN, SILAGE, NON-IRRIGATED",40,16.45,5.300,TONS / ACRE,$ / TON
53063,"WHEAT, WINTER, IRRIGATED",1120,66.33,6.49,BU / ACRE,$ / BU
53039,"HAYLAGE, (EXCL ALFALFA)",536,2.17,40.426,TONS / ACRE,$ / TON
41023,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED",5261,2.46,189.38,TONS / ACRE,$ / TON
41039,"CORN, GRAIN, IRRIGATED",24,140.58,5.30,BU / ACRE,$ / BU
41063,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED",5059,2.50,189.38,TONS / ACRE,$ / TON
06021,BARLEY,762,85.36,5.09,BU / ACRE,$ / BU
06005,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",1451,2.40,179.50,TONS / ACRE,$ / TON
06095,"BEANS, DRY EDIBLE, IRRIGATED",700,2028.00,0.549,LB / ACRE,$ / LB
06039,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), NON-IRRIGATED",860,3.17,179.50,TONS / ACRE,$ / TON
06019,"CORN, GRAIN, IRRIGATED",4183,186.07,5.19,BU / ACRE,$ / BU
06081,"CORN, SILAGE, IRRIGATED",6,15.00,5.190,TONS / ACRE,$ / TON
30099,LENTILS,3641,1016.67,0.238,LB / ACRE,$ / LB
41045,"BEANS, DRY EDIBLE, NON-IRRIGATED",459,,0.358,LB / ACRE,$ / LB
53077,"HAY, ALFALFA, NON-IRRIGATED",216,1.48,186.25,TONS / ACRE,$ / TON
16001,"WHEAT, WINTER, IRRIGATED",4773,115.75,6.29,BU / ACRE,$ / BU
06067,POTATOES,5,408.50,13.44,CWT / ACRE,$ / CWT
16067,"WHEAT, WINTER, IRRIGATED",15425,105.26,6.29,BU / ACRE,$ / BU
41061,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED",2945,2.32,189.38,TONS / ACRE,$ / TON
16061,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",1651,1.87,171.63,TONS / ACRE,$ / TON
53001,"BARLEY, IRRIGATED",964,88.19,4.11,BU / ACRE,$ / BU
16001,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED",1633,2.24,171.63,TONS / ACRE,$ / TON
06067,BARLEY,700,60.50,5.09,BU / ACRE,$ / BU
16049,OATS,2423,59.88,2.80,BU / ACRE,$ / BU
41039,"BEANS, DRY EDIBLE, NON-IRRIGATED",16,2231.25,0.358,LB / ACRE,$ / LB
41063,"HAYLAGE, (EXCL ALFALFA), NON-IRRIGATED",70,3.93,37.276,TONS / ACRE,$ / TON
06077,"BEANS, DRY EDIBLE, LIMA, NON-IRRIGATED",0,2400.00,0.549,LB / ACRE,$ / LB
41009,"HAYLAGE, (EXCL ALFALFA)",1117,15.73,37.276,TONS / ACRE,$ / TON
41061,"HAY, ALFALFA, NON-IRRIGATED",9433,2.21,190.00,TONS / ACRE,$ / TON
06057,"CORN, GRAIN, IRRIGATED",4,186.07,5.19,BU / ACRE,$ / BU
30073,"LENTILS, NON-IRRIGATED",3178,972.50,0.238,LB / ACRE,$ / LB
06057,"HAYLAGE, (EXCL ALFALFA), IRRIGATED",45,1.96,29.626,TONS / ACRE,$ / TON
06113,"CORN, GRAIN, IRRIGATED",14454,186.07,5.19,BU / ACRE,$ / BU
41057,"HAYLAGE, ALFALFA",440,8.85,38.000,TONS / ACRE,$ / TON
06113,"OATS, NON-IRRIGATED",192,87.83,3.57,BU / ACRE,$ / BU
06101,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED",595,4.00,179.50,TONS / ACRE,$ / TON
53051,"HAY, ALFALFA, IRRIGATED",400,3.92,186.25,TONS / ACRE,$ / TON
53077,"HAY, ALFALFA, IRRIGATED",23304,5.26,186.25,TONS / ACRE,$ / TON
53065,"HAYLAGE, ALFALFA",576,3.38,37.250,TONS / ACRE,$ / TON
53021,"CORN, GRAIN, NON-IRRIGATED",0,217.89,5.38,BU / ACRE,$ / BU
41023,"HAY, ALFALFA, IRRIGATED",3619,2.49,190.00,TONS / ACRE,$ / TON
41061,"WHEAT, WINTER, IRRIGATED",6789,97.91,6.72,BU / ACRE,$ / BU
16067,"HAY, ALFALFA, NON-IRRIGATED",733,1.28,174.38,TONS / ACRE,$ / TON
41057,"CORN, SILAGE, IRRIGATED",1107,21.66,5.300,TONS / ACRE,$ / TON
06077,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), NON-IRRIGATED",2775,2.12,179.50,TONS / ACRE,$ / TON
53001,POTATOES,25767,658.00,7.45,CWT / ACRE,$ / CWT
06019,"BARLEY, IRRIGATED",3264,88.85,5.09,BU / ACRE,$ / BU
53041,"HAY, ALFALFA, IRRIGATED",165,6.16,186.25,TONS / ACRE,$ / TON
16027,"BARLEY, NON-IRRIGATED",0,38.83,5.33,BU / ACRE,$ / BU
41017,"BEANS, DRY EDIBLE, NON-IRRIGATED",86,2231.25,0.358,LB / ACRE,$ / LB
06009,"HAY, ALFALFA",80,6.89,189.00,TONS / ACRE,$ / TON
06109,"BEANS, DRY EDIBLE, NON-IRRIGATED",0,2152.50,0.549,LB / ACRE,$ / LB
16001,"HAYLAGE, ALFALFA, IRRIGATED",2057,7.90,34.876,TONS / ACRE,$ / TON
06101,"BEANS, DRY EDIBLE, LIMA, NON-IRRIGATED",311,2114.00,0.549,LB / ACRE,$ / LB
30073,"BARLEY, NON-IRRIGATED",70014,36.08,5.28,BU / ACRE,$ / BU
41071,"CORN, SILAGE",2725,25.03,5.300,TONS / ACRE,$ / TON
30063,"HAY, ALFALFA, NON-IRRIGATED",2678,1.02,110.50,TONS / ACRE,$ / TON
16039,"CORN, SILAGE, IRRIGATED",8754,27.03,5.240,TONS / ACRE,$ / TON
53077,"BEANS, DRY EDIBLE, IRRIGATED",218,2700.00,0.346,LB / ACRE,$ / LB
30081,"CORN, SILAGE, NON-IRRIGATED",0,11.14,5.060,TONS / ACRE,$ / TON
06101,"CORN, GRAIN, IRRIGATED",11254,186.07,5.19,BU / ACRE,$ / BU
16087,"BEANS, DRY EDIBLE, IRRIGATED",1540,2355.00,0.326,LB / ACRE,$ / LB
41045,BARLEY,1092,85.37,4.21,BU / ACRE,$ / BU
16013,"BARLEY, IRRIGATED",13596,115.67,5.33,BU / ACRE,$ / BU
41011,"HAYLAGE, (EXCL ALFALFA), IRRIGATED",2760,7.17,37.276,TONS / ACRE,$ / TON
16009,"HAYLAGE, (EXCL ALFALFA)",430,1.40,27.300,TONS / ACRE,$ / TON
06077,"CORN, SILAGE, NON-IRRIGATED",2639,24.30,5.190,TONS / ACRE,$ / TON
06077,"HAYLAGE, (EXCL ALFALFA), IRRIGATED",9871,13.78,29.626,TONS / ACRE,$ / TON
06113,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED",3024,3.51,179.50,TONS / ACRE,$ / TON
41035,POTATOES,8296,433.60,8.11,CWT / ACRE,$ / CWT
06035,"HAY, ALFALFA, NON-IRRIGATED",658,1.79,189.00,TONS / ACRE,$ / TON
06113,"BEANS, DRY EDIBLE, LIMA",399,2185.00,0.549,LB / ACRE,$ / LB
41039,"SUGARBEETS, NON-IRRIGATED",0,35.73,48.40,TONS / ACRE,$ / TON
53011,"HAYLAGE, (EXCL ALFALFA), NON-IRRIGATED",0,3.87,40.426,TONS / ACRE,$ / TON
30063,POTATOES,3,335.40,11.71,CWT / ACRE,$ / CWT
53055,POTATOES,18,380.00,7.45,CWT / ACRE,$ / CWT
16073,"HAY, ALFALFA, NON-IRRIGATED",2103,2.02,174.38,TONS / ACRE,$ / TON
30081,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED",10948,2.05,109.38,TONS / ACRE,$ / TON
30081,"HAYLAGE, ALFALFA",1356,8.17,22.100,TONS / ACRE,$ / TON
06103,"CORN, SILAGE, IRRIGATED",1085,26.96,5.190,TONS / ACRE,$ / TON
16031,OATS,184,103.81,2.80,BU / ACRE,$ / BU
16047,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), NON-IRRIGATED",0,2.09,171.63,TONS / ACRE,$ / TON
16061,"BEANS, DRY EDIBLE",6311,895.00,0.326,LB / ACRE,$ / LB
53069,"HAYLAGE, (EXCL ALFALFA)",409,5.74,40.426,TONS / ACRE,$ / TON
16035,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",4943,1.49,171.63,TONS / ACRE,$ / TON
06113,"CORN, SILAGE, NON-IRRIGATED",0,23.08,5.190,TONS / ACRE,$ / TON
16055,"HAYLAGE, ALFALFA",344,2.97,34.876,TONS / ACRE,$ / TON
16023,"BARLEY, NON-IRRIGATED",204,27.18,5.33,BU / ACRE,$ / BU
16083,"HAY, ALFALFA, IRRIGATED",63342,5.69,174.38,TONS / ACRE,$ / TON
16075,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), NON-IRRIGATED",68,1.85,171.63,TONS / ACRE,$ / TON
41051,"HAY, ALFALFA, NON-IRRIGATED",133,2.10,190.00,TONS / ACRE,$ / TON
06103,"HAY, ALFALFA, NON-IRRIGATED",245,2.40,189.00,TONS / ACRE,$ / TON
53063,"HAY, ALFALFA, IRRIGATED",2683,6.12,186.25,TONS / ACRE,$ / TON
06023,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED",2341,4.60,179.50,TONS / ACRE,$ / TON
06039,"BEANS, DRY EDIBLE, IRRIGATED",330,2231.00,0.549,LB / ACRE,$ / LB
16037,"HAYLAGE, (EXCL ALFALFA)",126,3.89,27.300,TONS / ACRE,$ / TON
41045,"HAYLAGE, (EXCL ALFALFA), IRRIGATED",280,4.54,37.276,TONS / ACRE,$ / TON
53057,POTATOES,12807,386.00,7.45,CWT / ACRE,$ / CWT
06011,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",414,1.99,179.50,TONS / ACRE,$ / TON
41003,"WHEAT, WINTER",5838,106.47,6.72,BU / ACRE,$ / BU
06011,"HAY, ALFALFA, NON-IRRIGATED",1433,3.21,189.00,TONS / ACRE,$ / TON
06007,POTATOES,3,408.50,13.44,CWT / ACRE,$ / CWT
16073,"HAYLAGE, ALFALFA",3205,12.38,34.876,TONS / ACRE,$ / TON
41003,"HAYLAGE, (EXCL ALFALFA)",1202,6.51,37.276,TONS / ACRE,$ / TON
41011,POTATOES,2,561.25,8.11,CWT / ACRE,$ / CWT
16047,"CORN, GRAIN, IRRIGATED",14157,191.15,5.24,BU / ACRE,$ / BU
06039,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED",685,6.62,179.50,TONS / ACRE,$ / TON
53043,"BARLEY, NON-IRRIGATED",31824,55.42,4.11,BU / ACRE,$ / BU
06113,POTATOES,23,408.50,13.44,CWT / ACRE,$ / CWT
16031,"BEANS, DRY EDIBLE, NON-IRRIGATED",0,2451.25,0.326,LB / ACRE,$ / LB
16059,"HAYLAGE, ALFALFA, NON-IRRIGATED",0,0.90,34.876,TONS / ACRE,$ / TON
16075,"BARLEY, NON-IRRIGATED",0,40.00,5.33,BU / ACRE,$ / BU
53039,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED",1826,1.92,190.25,TONS / ACRE,$ / TON
06009,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",152,2.86,179.50,TONS / ACRE,$ / TON
53073,"CORN, SILAGE, IRRIGATED",4671,25.60,5.380,TONS / ACRE,$ / TON
06089,"HAYLAGE, ALFALFA, IRRIGATED",121,3.74,37.800,TONS / ACRE,$ / TON
53071,"CORN, GRAIN, IRRIGATED",2924,210.00,5.38,BU / ACRE,$ / BU
41001,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED",10436,2.11,189.38,TONS / ACRE,$ / TON
30029,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), NON-IRRIGATED",3947,1.48,109.38,TONS / ACRE,$ / TON
41027,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED",618,2.31,189.38,TONS / ACRE,$ / TON
16063,POTATOES,255,440.14,7.20,CWT / ACRE,$ / CWT
06011,"BEANS, DRY EDIBLE, IRRIGATED",3148,1574.00,0.549,LB / ACRE,$ / LB
41065,"HAYLAGE, ALFALFA",414,,38.000,TONS / ACRE,$ / TON
16049,"HAYLAGE, ALFALFA",775,2.34,34.876,TONS / ACRE,$ / TON
16037,"HAY, ALFALFA, NON-IRRIGATED",1915,0.83,174.38,TONS / ACRE,$ / TON
06089,"HAY, ALFALFA, IRRIGATED",2099,4.40,189.00,TONS / ACRE,$ / TON
53069,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",605,1.95,190.25,TONS / ACRE,$ / TON
53017,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), NON-IRRIGATED",0,1.67,190.25,TONS / ACRE,$ / TON
16067,"BEANS, DRY EDIBLE, NON-IRRIGATED",0,2361.43,0.326,LB / ACRE,$ / LB
41019,"HAYLAGE, (EXCL ALFALFA), NON-IRRIGATED",0,4.22,37.276,TONS / ACRE,$ / TON
30081,"HAY, ALFALFA, NON-IRRIGATED",1517,1.49,110.50,TONS / ACRE,$ / TON
53075,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED",189,4.34,190.25,TONS / ACRE,$ / TON
16027,POTATOES,7310,528.60,7.20,CWT / ACRE,$ / CWT
53005,"CORN, GRAIN, NON-IRRIGATED",0,244.00,5.38,BU / ACRE,$ / BU
53005,"CORN, GRAIN, IRRIGATED",14038,210.00,5.38,BU / ACRE,$ / BU
53071,"BEANS, DRY EDIBLE, NON-IRRIGATED",9473,1682.50,0.346,LB / ACRE,$ / LB
30099,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED",564,1.88,109.38,TONS / ACRE,$ / TON
16085,POTATOES,122,523.00,7.20,CWT / ACRE,$ / CWT
41043,"HAYLAGE, (EXCL ALFALFA), IRRIGATED",455,5.74,37.276,TONS / ACRE,$ / TON
30029,"WHEAT, WINTER, IRRIGATED",1034,79.03,6.39,BU / ACRE,$ / BU
06099,"CORN, SILAGE, IRRIGATED",60579,26.55,5.190,TONS / ACRE,$ / TON
53057,"CORN, SILAGE, IRRIGATED",280,27.87,5.380,TONS / ACRE,$ / TON
30099,"CORN, SILAGE",74,19.49,5.060,TONS / ACRE,$ / TON
16061,OATS,1054,67.61,2.80,BU / ACRE,$ / BU
06023,"BEANS, DRY EDIBLE, NON-IRRIGATED",26,2152.50,0.549,LB / ACRE,$ / LB
06047,"HAY, ALFALFA, NON-IRRIGATED",2831,3.20,189.00,TONS / ACRE,$ / TON
41051,"HAYLAGE, ALFALFA, NON-IRRIGATED",50,5.28,38.000,TONS / ACRE,$ / TON
06019,POTATOES,12,408.50,13.44,CWT / ACRE,$ / CWT
16001,"HAYLAGE, (EXCL ALFALFA), NON-IRRIGATED",0,3.23,27.300,TONS / ACRE,$ / TON
06113,"CORN, SILAGE, IRRIGATED",1601,25.61,5.190,TONS / ACRE,$ / TON
30047,"HAYLAGE, (EXCL ALFALFA)",119,,20.676,TONS / ACRE,$ / TON
53075,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), NON-IRRIGATED",2942,1.71,190.25,TONS / ACRE,$ / TON
41057,POTATOES,3,367.60,8.11,CWT / ACRE,$ / CWT
41057,"CORN, SILAGE, NON-IRRIGATED",279,12.70,5.300,TONS / ACRE,$ / TON
41065,"HAY, ALFALFA, NON-IRRIGATED",1497,2.31,190.00,TONS / ACRE,$ / TON
16073,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), NON-IRRIGATED",1209,1.79,171.63,TONS / ACRE,$ / TON
41047,"HAY, ALFALFA, IRRIGATED",1187,3.59,190.00,TONS / ACRE,$ / TON
06063,POTATOES,1,408.50,13.44,CWT / ACRE,$ / CWT
41067,POTATOES,414,367.60,8.11,CWT / ACRE,$ / CWT
30047,"BARLEY, NON-IRRIGATED",415,34.47,5.28,BU / ACRE,$ / BU
53071,"WHEAT, WINTER, NON-IRRIGATED",148769,69.42,6.49,BU / ACRE,$ / BU
06007,"HAY, ALFALFA, NON-IRRIGATED",263,2.90,189.00,TONS / ACRE,$ / TON
06089,"HAY, ALFALFA, NON-IRRIGATED",92,1.95,189.00,TONS / ACRE,$ / TON
53067,"HAYLAGE, ALFALFA, IRRIGATED",190,3.74,37.250,TONS / ACRE,$ / TON
30047,"HAYLAGE, ALFALFA",243,,22.100,TONS / ACRE,$ / TON
53019,"HAY, ALFALFA, NON-IRRIGATED",3164,1.14,186.25,TONS / ACRE,$ / TON
41067,"OATS, IRRIGATED",105,100.85,3.40,BU / ACRE,$ / BU
41061,POTATOES,588,347.50,8.11,CWT / ACRE,$ / CWT
41059,"CORN, SILAGE, NON-IRRIGATED",0,10.37,5.300,TONS / ACRE,$ / TON
06113,"BARLEY, NON-IRRIGATED",1390,27.43,5.09,BU / ACRE,$ / BU
53075,"BEANS, DRY EDIBLE",65037,1448.33,0.346,LB / ACRE,$ / LB
06109,"CORN, GRAIN, NON-IRRIGATED",0,191.70,5.19,BU / ACRE,$ / BU
41059,"BEANS, DRY EDIBLE, NON-IRRIGATED",2098,,0.358,LB / ACRE,$ / LB
41053,"OATS, NON-IRRIGATED",1911,73.92,3.40,BU / ACRE,$ / BU
53003,OATS,434,34.11,2.98,BU / ACRE,$ / BU
53039,"HAYLAGE, ALFALFA",898,4.58,37.250,TONS / ACRE,$ / TON
53045,"HAYLAGE, (EXCL ALFALFA)",42,1.52,40.426,TONS / ACRE,$ / TON
