location,BARLEY,"BARLEY, IRRIGATED","BARLEY, NON-IRRIGATED","BEANS, DRY EDIBLE","BEANS, DRY EDIBLE, IRRIGATED","BEANS, DRY EDIBLE, LIMA","BEANS, DRY EDIBLE, LIMA, IRRIGATED","BEANS, DRY EDIBLE, LIMA, NON-IRRIGATED","BEANS, DRY EDIBLE, NON-IRRIGATED","CORN, GRAIN","CORN, GRAIN, IRRIGATED","CORN, GRAIN, NON-IRRIGATED","CORN, SILAGE","CORN, SILAGE, IRRIGATED","CORN, SILAGE, NON-IRRIGATED","HAY, ALFALFA","HAY, ALFALFA, IRRIGATED","HAY, ALFALFA, NON-IRRIGATED","HAYLAGE, ALFALFA","HAYLAGE, ALFALFA, IRRIGATED","HAYLAGE, ALFALFA, NON-IRRIGATED","HAYLAGE, (EXCL ALFALFA)","HAYLAGE, (EXCL ALFALFA), IRRIGATED","HAYLAGE, (EXCL ALFALFA), NON-IRRIGATED","HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)","HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED","HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), NON-IRRIGATED",LENTILS,"LENTILS, IRRIGATED","LENTILS, NON-IRRIGATED",OATS,"OATS, IRRIGATED","OATS, NON-IRRIGATED",POTATOES,"SUGARBEETS, IRRIGATED","SUGARBEETS, NON-IRRIGATED","WHEAT, WINTER","WHEAT, WINTER, IRRIGATED","WHEAT, WINTER, NON-IRRIGATED"
16075,,5.33,5.33,,0.33,,,,0.33,,5.24,5.24,,5.24,5.24,,174.38,174.38,34.88,,,,27.30,27.30,,171.63,171.63,,,,,,,7.20,48.40,48.40,6.29,,
16083,,5.33,5.33,,0.33,,,,0.33,,5.24,5.24,,5.24,5.24,,174.38,174.38,,34.88,34.88,27.30,,,,171.63,171.63,,,,,2.80,2.80,7.20,48.40,48.40,,6.29,6.29
16085,,,,,,,,,,,,,,,,,174.38,174.38,,,,,,,,171.63,171.63,,,,,2.80,2.80,7.20,,,,,
16087,,5.33,5.33,,0.33,,,,0.33,,5.24,5.24,,5.24,5.24,,174.38,174.38,,,,,,,,171.63,171.63,,,,2.80,,,,48.40,48.40,,6.29,6.29
30001,,5.28,5.28,,,,,,,,,,,,,,110.50,110.50,,,,,,,,109.38,109.38,,,,,3.00,3.00,11.71,,,,,
30023,,,,,,,,,,,,,,,,110.50,,,22.10,,,,,,,,,,,,,,,,,,,,
30029,,5.28,5.28,,,,,,,,,,,,,,110.50,110.50,22.10,,,20.68,,,,109.38,109.38,,,,3.00,,,,,,,6.39,6.39
30035,,5.28,5.28,,,,,,,,,,,,,,110.50,110.50,,,,,,,109.38,,,0.24,,,3.00,,,,,,,6.39,6.39
30039,,,,,,,,,,,,,,,,110.50,,,,,,,,,109.38,,,,,,,,,,,,,,
30047,,5.28,5.28,,,,,,,,5.06,5.06,,,,,110.50,110.50,22.10,,,20.68,,,,109.38,109.38,,,,,3.00,3.00,11.71,,,,6.39,6.39
30049,5.28,,,,,,,,,,,,,,,,110.50,110.50,,22.10,22.10,20.68,,,,109.38,109.38,,,,,,,11.71,,,,,
30053,,5.28,5.28,,,,,,,,,,,,,,110.50,110.50,22.10,,,,,,,109.38,109.38,,,,,,,11.71,,,,,
30061,,,,,,,,,,,,,,,,,110.50,110.50,,,,20.68,,,,109.38,109.38,,,,,,,,,,,,
30063,5.28,,,,,,,,,,,,,,,,110.50,110.50,,22.10,22.10,,20.68,20.68,,109.38,109.38,,,,,,,11.71,,,,,
30073,,5.28,5.28,,,,,,,,,,,,,,110.50,110.50,,,,,,,109.38,,,,0.24,0.24,3.00,,,11.71,,,,6.39,6.39
30077,,5.28,5.28,,,,,,,,,,,,,,110.50,110.50,,,,,,,,109.38,109.38,,,,,,,,,,,,
30081,,5.28,5.28,,,,,,,,5.06,5.06,,5.06,5.06,,110.50,110.50,22.10,,,20.68,,,,109.38,109.38,,,,,3.00,3.00,11.71,,,,6.39,6.39
30089,,,,,,,,,,,,,,,,,110.50,110.50,,,,,,,,109.38,109.38,,,,,,,11.71,,,6.39,,
30099,,5.28,5.28,,,,,,,,,,5.06,,,,110.50,110.50,22.10,,,,20.68,20.68,,109.38,109.38,0.24,,,3.00,,,11.71,,,,6.39,6.39
41001,,4.21,4.21,,,,,,,,,,,5.30,5.30,,190.00,190.00,,38.00,38.00,37.28,,,,189.38,189.38,,,,3.40,,,8.11,,,6.72,,
41003,,,,,,,,,,,,,,,,190.00,,,,,,37.28,,,,189.38,189.38,,,,3.40,,,,48.40,48.40,6.72,,
41005,4.21,,,,,,,,,,5.30,5.30,,5.30,5.30,,190.00,190.00,38.00,,,37.28,,,,189.38,189.38,,,,3.40,,,8.11,48.40,48.40,6.72,,
41007,,,,,,,,,,,,,,,,,,,,,,37.28,,,189.38,,,,,,,,,8.11,,,,,
41009,4.21,,,,,,,,,,,,,,,190.00,,,,38.00,38.00,37.28,,,,189.38,189.38,,,,,,,8.11,,,,,
41011,,,,,,,,,,,,,,,,,,,,,,,37.28,37.28,,189.38,189.38,,,,,,,8.11,,,,,
41013,,,,,,,,,,,,,,,,,190.00,190.00,,,,,,,,189.38,189.38,,,,,,,,,,,,
41015,,,,,,,,,,,,,,,,,,,,,,,,,,189.38,189.38,,,,,,,8.11,,,,,
41017,,,,,0.36,,,,0.36,,,,,,,,190.00,190.00,,,,,,,,189.38,189.38,,,,,,,8.11,,,6.72,,
41019,4.21,,,0.36,,,,,,,,,,,,,190.00,190.00,,,,,37.28,37.28,,189.38,189.38,,,,,,,8.11,,,,,
41021,4.21,,,,,,,,,,,,,,,,190.00,190.00,,,,,,,,,,,,,,,,,,,6.72,,
41023,,,,,,,,,,,,,,,,,190.00,190.00,,,,,,,,189.38,189.38,,,,,,,,,,,,
41025,,,,,,,,,,,,,,,,,190.00,190.00,,,,,,,,189.38,189.38,,,,,,,,,,,,
41027,,,,,,,,,,,,,,,,,190.00,190.00,,38.00,38.00,,37.28,37.28,,189.38,189.38,,,,,,,8.11,,,,,
41029,,4.21,4.21,,0.36,,,,0.36,,5.30,5.30,,,,,190.00,190.00,38.00,,,37.28,,,,189.38,189.38,,,,,,,8.11,,,,,
41031,4.21,,,,,,,,,,,,,,,,190.00,190.00,,,,,,,,189.38,189.38,,,,,,,,,,,6.72,6.72
41033,,,,,,,,,,,5.30,5.30,,,,190.00,,,,,,,,,,189.38,189.38,,,,,,,8.11,,,,,
41035,,4.21,4.21,,,,,,,,,,,,,,190.00,190.00,38.00,,,37.28,,,,189.38,189.38,,,,,3.40,3.40,8.11,,,,,
41037,,,,,,,,,,,,,,,,,190.00,190.00,,,,,,,,189.38,189.38,,,,3.40,,,8.11,,,,,
41039,4.21,,,,0.36,,,,0.36,,5.30,5.30,5.30,,,,190.00,190.00,,,,,,,,189.38,189.38,0.29,,,3.40,,,8.11,48.40,48.40,6.72,,
41041,,,,,,,,,,,,,,,,,,,,,,37.28,,,,189.38,189.38,,,,,,,8.11,,,,,
41043,4.21,,,,,,,,,,,,,5.30,5.30,,190.00,190.00,,38.00,38.00,,37.28,37.28,,189.38,189.38,,,,3.40,,,8.11,48.40,48.40,6.72,,
41045,4.21,,,,0.36,,,,0.36,,5.30,5.30,,5.30,5.30,,190.00,190.00,,38.00,38.00,,37.28,37.28,,189.38,189.38,,,,3.40,,,8.11,48.40,48.40,,6.72,6.72
41047,,4.21,4.21,,,,,,,5.30,,,5.30,,,,190.00,190.00,,38.00,38.00,,37.28,37.28,,189.38,189.38,,,,3.40,,,8.11,48.40,48.40,,6.72,6.72
41049,4.21,,,,,,,,,,5.30,5.30,,5.30,5.30,,190.00,190.00,,,,,,,189.38,,,,,,,,,8.11,,,,6.72,6.72
41051,,,,,,,,,,5.30,,,5.30,,,,190.00,190.00,,38.00,38.00,37.28,,,,189.38,189.38,,,,3.40,,,8.11,,,6.72,,
41053,4.21,,,,,,,,,,,,,5.30,5.30,190.00,,,38.00,,,37.28,,,,189.38,189.38,,,,,3.40,3.40,8.11,,,6.72,,
41055,4.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.72,,
41057,,,,,,,,,,,,,,5.30,5.30,,,,38.00,,,,37.28,37.28,189.38,,,,,,,,,8.11,,,,,
41059,,4.21,4.21,,0.36,,,,0.36,,5.30,5.30,,5.30,5.30,,190.00,190.00,,38.00,38.00,37.28,,,,189.38,189.38,,,,,,,8.11,,,,6.72,6.72
41061,,4.21,4.21,,,,,,,,5.30,5.30,,,,,190.00,190.00,,,,,,,,189.38,189.38,,,,3.40,,,8.11,,,,6.72,6.72
41063,,4.21,4.21,,,,,,,,,,,,,,190.00,190.00,38.00,,,,37.28,37.28,,189.38,189.38,,,,3.40,,,,,,,6.72,6.72
41065,,4.21,4.21,,,,,,,,,,,,,,190.00,190.00,38.00,,,37.28,,,,189.38,189.38,,,,,,,8.11,,,,6.72,6.72
41067,,4.21,4.21,,,,,,,,,,,5.30,5.30,,190.00,190.00,38.00,,,37.28,,,,189.38,189.38,,,,,3.40,3.40,8.11,48.40,48.40,,6.72,6.72
41069,,,,,,,,,,,,,,,,,190.00,190.00,,,,,,,189.38,,,,,,,,,,,,,,
41071,4.21,,,0.36,,,,,,,5.30,5.30,5.30,,,,190.00,190.00,,38.00,38.00,,37.28,37.28,,189.38,189.38,,,,3.40,,,8.11,48.40,48.40,,6.72,6.72
53001,,4.11,4.11,,0.35,,,,0.35,,5.38,5.38,,5.38,5.38,186.25,,,,,,,,,,,,,,,,,,7.45,,,,6.49,6.49
53003,4.11,,,0.35,,,,,,,,,,,,186.25,,,,,,,,,190.25,,,,,,2.98,,,,,,6.49,,
53005,,,,,,,,,,,5.38,5.38,,5.38,5.38,186.25,,,37.25,,,40.43,,,,,,,,,,,,7.45,,,6.49,,
53007,,,,,,,,,,,5.38,5.38,,,,,186.25,186.25,,,,,,,,190.25,190.25,,,,,,,7.45,,,,,
53009,4.11,,,,,,,,,,,,,,,,186.25,186.25,37.25,,,40.43,,,,190.25,190.25,,,,,,,7.45,,,,,
53011,,,,,,,,,,,,,,5.38,5.38,,186.25,186.25,,,,,40.43,40.43,,190.25,190.25,,,,2.98,,,7.45,,,6.49,,
53013,4.11,,,0.35,,,,,,,,,,,,,186.25,186.25,,,,40.43,,,,,,,,,,,,,,,6.49,,
53015,4.11,,,,,,,,,,,,5.38,,,,,,,,,40.43,,,190.25,,,,,,,,,,,,,,
53017,4.11,,,,,,,,,,5.38,5.38,,,,186.25,,,,37.25,37.25,,,,,190.25,190.25,,,,,,,7.45,,,6.49,,
53019,,,,,,,,,,,,,,,,,186.25,186.25,,,,40.43,,,190.25,,,,,,,,,,,,,,
53021,,4.11,4.11,,0.35,,,,0.35,,5.38,5.38,,5.38,5.38,,186.25,186.25,,37.25,37.25,40.43,,,,,,,,,,,,7.45,,,,6.49,6.49
53023,4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.49,,
53025,4.11,,,,0.35,0.35,,,0.35,,5.38,5.38,,5.38,5.38,,186.25,186.25,37.25,,,40.43,,,,190.25,190.25,,,,,,,7.45,,,6.49,,
53027,,,,,,,,,,,,,,5.38,5.38,,,,,,,,,,,190.25,190.25,,,,,,,7.45,,,,6.49,6.49
53029,4.11,,,,,,,,,,,,5.38,,,,186.25,186.25,37.25,,,40.43,,,,190.25,190.25,,,,,,,7.45,,,,,
53031,,,,,,,,,,,,,,,,,,,,,,,,,190.25,,,,,,,,,7.45,,,,,
53033,4.11,,,,,,,,,,,,5.38,,,186.25,,,37.25,,,40.43,,,190.25,,,,,,2.98,,,7.45,,,,,
53035,,,,,,,,,,,,,,,,186.25,,,,,,,,,190.25,,,,,,,,,7.45,,,,,
53037,,,,,,,,,,,,,,,,,186.25,186.25,,,,,,,,190.25,190.25,,,,2.98,,,7.45,,,6.49,,
53039,4.11,,,,,,,,,,,,,,,,186.25,186.25,37.25,,,40.43,,,,190.25,190.25,,,,2.98,,,7.45,,,,6.49,6.49
53041,4.11,,,,,,,,,,,,5.38,,,,186.25,186.25,37.25,,,40.43,,,,190.25,190.25,,,,2.98,,,7.45,,,6.49,,
53043,,4.11,4.11,,0.35,,,,0.35,,,,,,,,186.25,186.25,37.25,,,40.43,,,,190.25,190.25,,,,,,,,,,,6.49,6.49
53045,,,,,,,,,,,,,,,,,,,,,,40.43,,,190.25,,,,,,,,,7.45,,,,,
53047,,4.11,4.11,,,,,,,,,,,5.38,5.38,,186.25,186.25,37.25,,,40.43,,,,190.25,190.25,,,,,2.98,2.98,7.45,,,6.49,,
53049,,,,,,,,,,,,,,,,,,,37.25,,,,40.43,40.43,,,,,,,,,,7.45,,,,,
53051,,,,,,,,,,,,,,,,,186.25,186.25,,,,40.43,,,190.25,,,,,,,,,7.45,,,,,
53053,,,,0.35,,,,,,5.38,,,5.38,,,,186.25,186.25,,,,,,,190.25,,,,,,,,,7.45,,,,,
53055,,,,,,,,,,,,,,,,,,,,,,,,,190.25,,,,,,,,,7.45,,,,,
53057,,4.11,4.11,,,,,,,,,,,5.38,5.38,186.25,,,,37.25,37.25,,40.43,40.43,,190.25,190.25,,,,2.98,,,7.45,,,6.49,,
53059,,,,,,,,,,,,,,,,186.25,,,,,,,,,190.25,,,,,,,,,7.45,,,,,
53061,4.11,,,0.35,,,,,,,,,,5.38,5.38,186.25,,,37.25,,,40.43,,,190.25,,,,,,2.98,,,,,,6.49,,
53063,,4.11,4.11,0.35,,,,,,,,,,,,,186.25,186.25,,37.25,37.25,,40.43,40.43,,190.25,190.25,,,,2.98,,,7.45,,,,6.49,6.49
53065,,4.11,4.11,,,,,,,,,,,,,,186.25,186.25,37.25,,,40.43,,,,190.25,190.25,,,,2.98,,,7.45,,,6.49,,
53067,,,,,,,,,,,,,,,,186.25,,,,37.25,37.25,,40.43,40.43,190.25,,,,,,,,,7.45,,,,,
53069,,,,,,,,,,,,,,,,,,,,,,40.43,,,190.25,,,,,,,,,7.45,,,,,
53071,,4.11,4.11,,0.35,,,,0.35,,5.38,5.38,,,,,186.25,186.25,,,,,,,,190.25,190.25,,,,,,,7.45,,,,6.49,6.49
53073,,,,,0.35,,,,0.35,,,,,5.38,5.38,186.25,,,,37.25,37.25,,40.43,40.43,,190.25,190.25,,,,2.98,,,7.45,,,,,
53075,,4.11,4.11,0.35,,,,,,,,,,,,,186.25,186.25,,,,,,,,190.25,190.25,0.30,,,,,,,,,6.49,,
53077,4.11,,,,0.35,,,,0.35,,5.38,5.38,,5.38,5.38,,186.25,186.25,37.25,,,40.43,,,,190.25,190.25,,,,,,,7.45,,,,6.49,6.49
