fips,adc,state,agdistrict,county
41005,41ag10,OREGON,NORTHWEST,CLACKAMAS
53053,53ag10,WASHINGTON,WESTERN,PIERCE
41001,41ag30,OREGON,NORTHEAST,BAKER
53019,53ag30,WASHINGTON,NORTHEAST,FERRY
30021,30ag30,MONTANA,NORTHEAST,DAWSON
16029,16ag90,IDAHO,EAST,CARIBOU
16039,16ag70,IDAHO,SOUTHWEST,ELMORE
06097,06ag40,CALIFORNIA,CENTRAL COAST,SONOMA
30087,30ag90,MONTANA,SOUTHEAST,ROSEBUD
06061,06ag60,CALIFORNIA,SIERRA MOUNTAINS,PLACER
06075,06ag40,CALIFORNIA,CENTRAL COAST,SAN FRANCISCO
53075,53ag90,WASHINGTON,SOUTHEAST,WHITMAN
53047,53ag20,WASHINGTON,CENTRAL,OKANOGAN
53025,53ag50,WASHINGTON,EAST CENTRAL,GRANT
53069,53ag10,WASHINGTON,WESTERN,WAHKIAKUM
06031,06ag51,CALIFORNIA,SAN JOAQUIN VALLEY,KINGS
30049,30ag50,MONTANA,CENTRAL,LEWIS AND CLARK
30003,30ag80,MONTANA,SOUTH CENTRAL,BIG HORN
30013,30ag50,MONTANA,CENTRAL,CASCADE
06015,06ag10,CALIFORNIA,NORTHERN COAST,DEL NORTE
30081,30ag10,MONTANA,NORTHWEST,RAVALLI
53041,53ag10,WASHINGTON,WESTERN,LEWIS
16077,16ag90,IDAHO,EAST,POWER
06115,06ag50,CALIFORNIA,SACRAMENTO VALLEY,YUBA
53033,53ag10,WASHINGTON,WESTERN,KING
06009,06ag60,CALIFORNIA,SIERRA MOUNTAINS,CALAVERAS
06103,06ag50,CALIFORNIA,SACRAMENTO VALLEY,TEHAMA
06011,06ag50,CALIFORNIA,SACRAMENTO VALLEY,COLUSA
16065,16ag90,IDAHO,EAST,MADISON
16045,16ag70,IDAHO,SOUTHWEST,GEM
30103,30ag80,MONTANA,SOUTH CENTRAL,TREASURE
06033,06ag40,CALIFORNIA,CENTRAL COAST,LAKE
30011,30ag90,MONTANA,SOUTHEAST,CARTER
30027,30ag50,MONTANA,CENTRAL,FERGUS
06005,06ag60,CALIFORNIA,SIERRA MOUNTAINS,AMADOR
06007,06ag50,CALIFORNIA,SACRAMENTO VALLEY,BUTTE
16025,16ag80,IDAHO,SOUTH CENTRAL,CAMAS
30073,30ag20,MONTANA,NORTH CENTRAL,PONDERA
53059,53ag10,WASHINGTON,WESTERN,SKAMANIA
30077,30ag10,MONTANA,NORTHWEST,POWELL
53061,53ag10,WASHINGTON,WESTERN,SNOHOMISH
16085,16ag70,IDAHO,SOUTHWEST,VALLEY
30039,30ag10,MONTANA,NORTHWEST,GRANITE
06095,06ag50,CALIFORNIA,SACRAMENTO VALLEY,SOLANO
06001,06ag40,CALIFORNIA,CENTRAL COAST,ALAMEDA
16041,16ag90,IDAHO,EAST,FRANKLIN
06045,06ag10,CALIFORNIA,NORTHERN COAST,MENDOCINO
06043,06ag60,CALIFORNIA,SIERRA MOUNTAINS,MARIPOSA
16047,16ag80,IDAHO,SOUTH CENTRAL,GOODING
06053,06ag40,CALIFORNIA,CENTRAL COAST,MONTEREY
30085,30ag30,MONTANA,NORTHEAST,ROOSEVELT
30037,30ag50,MONTANA,CENTRAL,GOLDEN VALLEY
06087,06ag40,CALIFORNIA,CENTRAL COAST,SANTA CRUZ
06109,06ag60,CALIFORNIA,SIERRA MOUNTAINS,TUOLUMNE
30109,30ag90,MONTANA,SOUTHEAST,WIBAUX
30033,30ag30,MONTANA,NORTHEAST,GARFIELD
41027,41ag20,OREGON,NORTH CENTRAL,HOOD RIVER
41063,41ag30,OREGON,NORTHEAST,WALLOWA
06023,06ag10,CALIFORNIA,NORTHERN COAST,HUMBOLDT
30079,30ag90,MONTANA,SOUTHEAST,PRAIRIE
30071,30ag20,MONTANA,NORTH CENTRAL,PHILLIPS
16051,16ag90,IDAHO,EAST,JEFFERSON
53029,53ag10,WASHINGTON,WESTERN,ISLAND
06017,06ag60,CALIFORNIA,SIERRA MOUNTAINS,EL DORADO
30009,30ag80,MONTANA,SOUTH CENTRAL,CARBON
53013,53ag90,WASHINGTON,SOUTHEAST,COLUMBIA
53027,53ag10,WASHINGTON,WESTERN,GRAYS HARBOR
41025,41ag80,OREGON,SOUTHEAST,HARNEY
30075,30ag90,MONTANA,SOUTHEAST,POWDER RIVER
16079,16ag10,IDAHO,NORTH,SHOSHONE
41039,41ag10,OREGON,NORTHWEST,LANE
06105,06ag20,CALIFORNIA,SISKIYOU-SHASTA,TRINITY
16003,16ag70,IDAHO,SOUTHWEST,ADAMS
06101,06ag50,CALIFORNIA,SACRAMENTO VALLEY,SUTTER
06079,06ag40,CALIFORNIA,CENTRAL COAST,SAN LUIS OBISPO
53023,53ag90,WASHINGTON,SOUTHEAST,GARFIELD
30101,30ag20,MONTANA,NORTH CENTRAL,TOOLE
53073,53ag10,WASHINGTON,WESTERN,WHATCOM
06029,06ag51,CALIFORNIA,SAN JOAQUIN VALLEY,KERN
06113,06ag50,CALIFORNIA,SACRAMENTO VALLEY,YOLO
06047,06ag51,CALIFORNIA,SAN JOAQUIN VALLEY,MERCED
30059,30ag50,MONTANA,CENTRAL,MEAGHER
30053,30ag10,MONTANA,NORTHWEST,LINCOLN
41037,41ag80,OREGON,SOUTHEAST,LAKE
53063,53ag30,WASHINGTON,NORTHEAST,SPOKANE
16023,16ag90,IDAHO,EAST,BUTTE
41035,41ag80,OREGON,SOUTHEAST,KLAMATH
16081,16ag90,IDAHO,EAST,TETON
16067,16ag80,IDAHO,SOUTH CENTRAL,MINIDOKA
06041,06ag40,CALIFORNIA,CENTRAL COAST,MARIN
41019,41ag70,OREGON,SOUTHWEST,DOUGLAS
16007,16ag90,IDAHO,EAST,BEAR LAKE
06039,06ag51,CALIFORNIA,SAN JOAQUIN VALLEY,MADERA
06069,06ag40,CALIFORNIA,CENTRAL COAST,SAN BENITO
53007,53ag20,WASHINGTON,CENTRAL,CHELAN
41033,41ag70,OREGON,SOUTHWEST,JOSEPHINE
06111,06ag80,CALIFORNIA,SOUTHERN CALIFORNIA,VENTURA
06013,06ag40,CALIFORNIA,CENTRAL COAST,CONTRA COSTA
41029,41ag70,OREGON,SOUTHWEST,JACKSON
30089,30ag10,MONTANA,NORTHWEST,SANDERS
06055,06ag40,CALIFORNIA,CENTRAL COAST,NAPA
30007,30ag50,MONTANA,CENTRAL,BROADWATER
30083,30ag30,MONTANA,NORTHEAST,RICHLAND
06083,06ag80,CALIFORNIA,SOUTHERN CALIFORNIA,SANTA BARBARA
16061,16ag10,IDAHO,NORTH,LEWIS
41015,41ag70,OREGON,SOUTHWEST,CURRY
30051,30ag20,MONTANA,NORTH CENTRAL,LIBERTY
06021,06ag50,CALIFORNIA,SACRAMENTO VALLEY,GLENN
06063,06ag30,CALIFORNIA,NORTHEAST,PLUMAS
16033,16ag90,IDAHO,EAST,CLARK
41051,41ag10,OREGON,NORTHWEST,MULTNOMAH
06091,06ag60,CALIFORNIA,SIERRA MOUNTAINS,SIERRA
53067,53ag10,WASHINGTON,WESTERN,THURSTON
41055,41ag20,OREGON,NORTH CENTRAL,SHERMAN
41009,41ag10,OREGON,NORTHWEST,COLUMBIA
16049,16ag10,IDAHO,NORTH,IDAHO
16013,16ag80,IDAHO,SOUTH CENTRAL,BLAINE
16087,16ag70,IDAHO,SOUTHWEST,WASHINGTON
53055,53ag10,WASHINGTON,WESTERN,SAN JUAN
41013,41ag80,OREGON,SOUTHEAST,CROOK
30063,30ag10,MONTANA,NORTHWEST,MISSOULA
30043,30ag70,MONTANA,SOUTHWEST,JEFFERSON
53015,53ag10,WASHINGTON,WESTERN,COWLITZ
30045,30ag50,MONTANA,CENTRAL,JUDITH BASIN
53017,53ag50,WASHINGTON,EAST CENTRAL,DOUGLAS
30001,30ag70,MONTANA,SOUTHWEST,BEAVERHEAD
41021,41ag20,OREGON,NORTH CENTRAL,GILLIAM
41011,41ag70,OREGON,SOUTHWEST,COOS
06019,06ag51,CALIFORNIA,SAN JOAQUIN VALLEY,FRESNO
41047,41ag10,OREGON,NORTHWEST,MARION
53009,53ag10,WASHINGTON,WESTERN,CLALLAM
06027,06ag60,CALIFORNIA,SIERRA MOUNTAINS,INYO
06089,06ag20,CALIFORNIA,SISKIYOU-SHASTA,SHASTA
53045,53ag10,WASHINGTON,WESTERN,MASON
30055,30ag30,MONTANA,NORTHEAST,MCCONE
06071,06ag80,CALIFORNIA,SOUTHERN CALIFORNIA,SAN BERNARDINO
53021,53ag50,WASHINGTON,EAST CENTRAL,FRANKLIN
30031,30ag70,MONTANA,SOUTHWEST,GALLATIN
16019,16ag90,IDAHO,EAST,BONNEVILLE
30069,30ag50,MONTANA,CENTRAL,PETROLEUM
16043,16ag90,IDAHO,EAST,FREMONT
53077,53ag20,WASHINGTON,CENTRAL,YAKIMA
16009,16ag10,IDAHO,NORTH,BENEWAH
06107,06ag51,CALIFORNIA,SAN JOAQUIN VALLEY,TULARE
41065,41ag20,OREGON,NORTH CENTRAL,WASCO
06065,06ag80,CALIFORNIA,SOUTHERN CALIFORNIA,RIVERSIDE
30029,30ag10,MONTANA,NORTHWEST,FLATHEAD
41069,41ag80,OREGON,SOUTHEAST,WHEELER
16017,16ag10,IDAHO,NORTH,BONNER
16035,16ag10,IDAHO,NORTH,CLEARWATER
41061,41ag30,OREGON,NORTHEAST,UNION
