commodity,unit,fips,adc,state,yield,county_yield,ad_yield,st_yield,st_irrigated,st_partial,st_none
BARLEY,BU,53047,53ag20,53,29.84,29.84,54.18,62.27,84.60,66.00,65.20
BARLEY,BU,53061,53ag10,53,64.28,64.28,69.47,62.27,84.60,66.00,65.20
BARLEY,BU,53057,53ag10,53,74.13,74.13,69.47,62.27,84.60,66.00,65.20
BARLEY,BU,53041,53ag10,53,70.06,70.06,69.47,62.27,84.60,66.00,65.20
BARLEY,BU,53029,53ag10,53,97.41,97.41,69.47,62.27,84.60,66.00,65.20
BARLEY,BU,53027,53ag10,53,61.48,61.48,69.47,62.27,84.60,66.00,65.20
BARLEY,BU,53015,53ag10,53,95.87,95.87,69.47,62.27,84.60,66.00,65.20
BARLEY,BU,53011,53ag10,53,69.47,,69.47,62.27,84.60,66.00,65.20
BARLEY,BU,53009,53ag10,53,87.49,87.49,69.47,62.27,84.60,66.00,65.20
BARLEY,BU,53033,53ag10,53,5.00,5.00,69.47,62.27,84.60,66.00,65.20
BARLEY,BU,06089,06ag20,06,78.62,,78.62,69.81,88.85,40.00,37.45
BARLEY,BU,06093,06ag20,06,78.62,78.62,78.62,69.81,88.85,40.00,37.45
BARLEY,BU,06035,06ag30,06,150.55,150.55,120.93,69.81,88.85,40.00,37.45
BARLEY,BU,06049,06ag30,06,91.30,91.30,120.93,69.81,88.85,40.00,37.45
BARLEY,BU,06079,06ag40,06,36.73,36.73,52.50,69.81,88.85,40.00,37.45
BARLEY,BU,06053,06ag40,06,71.38,71.38,52.50,69.81,88.85,40.00,37.45
BARLEY,BU,06013,06ag40,06,52.50,,52.50,69.81,88.85,40.00,37.45
BARLEY,BU,06001,06ag40,06,52.50,,52.50,69.81,88.85,40.00,37.45
BARLEY,BU,06069,06ag40,06,49.39,49.39,52.50,69.81,88.85,40.00,37.45
BARLEY,BU,06103,06ag50,06,40.97,40.97,58.31,69.81,88.85,40.00,37.45
BARLEY,BU,06101,06ag50,06,58.31,,58.31,69.81,88.85,40.00,37.45
BARLEY,BU,06095,06ag50,06,55.82,55.82,58.31,69.81,88.85,40.00,37.45
BARLEY,BU,06067,06ag50,06,60.50,60.50,58.31,69.81,88.85,40.00,37.45
BARLEY,BU,06011,06ag50,06,58.31,,58.31,69.81,88.85,40.00,37.45
BARLEY,BU,06021,06ag50,06,85.36,85.36,58.31,69.81,88.85,40.00,37.45
BARLEY,BU,06113,06ag50,06,48.92,48.92,58.31,69.81,88.85,40.00,37.45
BARLEY,BU,06029,06ag51,06,74.94,74.94,69.63,69.81,88.85,40.00,37.45
BARLEY,BU,06019,06ag51,06,59.66,59.66,69.63,69.81,88.85,40.00,37.45
BARLEY,BU,06039,06ag51,06,88.47,88.47,69.63,69.81,88.85,40.00,37.45
BARLEY,BU,06047,06ag51,06,45.64,45.64,69.63,69.81,88.85,40.00,37.45
BARLEY,BU,06077,06ag51,06,66.61,66.61,69.63,69.81,88.85,40.00,37.45
BARLEY,BU,06099,06ag51,06,69.15,69.15,69.63,69.81,88.85,40.00,37.45
BARLEY,BU,06107,06ag51,06,76.67,76.67,69.63,69.81,88.85,40.00,37.45
BARLEY,BU,06031,06ag51,06,75.87,75.87,69.63,69.81,88.85,40.00,37.45
BARLEY,BU,06065,06ag80,06,42.00,42.00,69.74,69.81,88.85,40.00,37.45
BARLEY,BU,06037,06ag80,06,107.96,107.96,69.74,69.81,88.85,40.00,37.45
BARLEY,BU,06071,06ag80,06,59.25,59.25,69.74,69.81,88.85,40.00,37.45
BARLEY,BU,06083,06ag80,06,69.74,,69.74,69.81,88.85,40.00,37.45
BARLEY,BU,16069,16ag10,16,61.19,61.19,61.94,80.98,106.85,65.00,45.15
BARLEY,BU,16021,16ag10,16,71.75,71.75,61.94,80.98,106.85,65.00,45.15
BARLEY,BU,16055,16ag10,16,75.36,75.36,61.94,80.98,106.85,65.00,45.15
BARLEY,BU,16009,16ag10,16,67.30,67.30,61.94,80.98,106.85,65.00,45.15
BARLEY,BU,16035,16ag10,16,41.48,41.48,61.94,80.98,106.85,65.00,45.15
BARLEY,BU,16049,16ag10,16,53.18,53.18,61.94,80.98,106.85,65.00,45.15
BARLEY,BU,16057,16ag10,16,60.83,60.83,61.94,80.98,106.85,65.00,45.15
BARLEY,BU,16061,16ag10,16,64.45,64.45,61.94,80.98,106.85,65.00,45.15
BARLEY,BU,16017,16ag10,16,61.94,,61.94,80.98,106.85,65.00,45.15
BARLEY,BU,16087,16ag70,16,71.40,71.40,94.50,80.98,106.85,65.00,45.15
BARLEY,BU,16073,16ag70,16,106.87,106.87,94.50,80.98,106.85,65.00,45.15
BARLEY,BU,16075,16ag70,16,94.50,,94.50,80.98,106.85,65.00,45.15
BARLEY,BU,16045,16ag70,16,71.59,71.59,94.50,80.98,106.85,65.00,45.15
BARLEY,BU,16039,16ag70,16,99.90,99.90,94.50,80.98,106.85,65.00,45.15
BARLEY,BU,16001,16ag70,16,109.02,109.02,94.50,80.98,106.85,65.00,45.15
BARLEY,BU,16027,16ag70,16,108.24,108.24,94.50,80.98,106.85,65.00,45.15
BARLEY,BU,16003,16ag70,16,94.50,,94.50,80.98,106.85,65.00,45.15
BARLEY,BU,16063,16ag80,16,119.20,119.20,105.73,80.98,106.85,65.00,45.15
BARLEY,BU,16031,16ag80,16,118.33,118.33,105.73,80.98,106.85,65.00,45.15
BARLEY,BU,16047,16ag80,16,108.82,108.82,105.73,80.98,106.85,65.00,45.15
BARLEY,BU,16053,16ag80,16,123.02,123.02,105.73,80.98,106.85,65.00,45.15
BARLEY,BU,16067,16ag80,16,120.98,120.98,105.73,80.98,106.85,65.00,45.15
BARLEY,BU,16025,16ag80,16,27.00,27.00,105.73,80.98,106.85,65.00,45.15
BARLEY,BU,16013,16ag80,16,106.15,106.15,105.73,80.98,106.85,65.00,45.15
BARLEY,BU,16083,16ag80,16,122.35,122.35,105.73,80.98,106.85,65.00,45.15
BARLEY,BU,16043,16ag90,16,69.70,69.70,73.06,80.98,106.85,65.00,45.15
BARLEY,BU,16051,16ag90,16,100.13,100.13,73.06,80.98,106.85,65.00,45.15
BARLEY,BU,16065,16ag90,16,79.91,79.91,73.06,80.98,106.85,65.00,45.15
BARLEY,BU,16071,16ag90,16,41.03,41.03,73.06,80.98,106.85,65.00,45.15
BARLEY,BU,16077,16ag90,16,62.66,62.66,73.06,80.98,106.85,65.00,45.15
BARLEY,BU,16081,16ag90,16,53.09,53.09,73.06,80.98,106.85,65.00,45.15
BARLEY,BU,16059,16ag90,16,85.45,85.45,73.06,80.98,106.85,65.00,45.15
BARLEY,BU,16005,16ag90,16,48.80,48.80,73.06,80.98,106.85,65.00,45.15
BARLEY,BU,16007,16ag90,16,48.76,48.76,73.06,80.98,106.85,65.00,45.15
BARLEY,BU,16011,16ag90,16,107.46,107.46,73.06,80.98,106.85,65.00,45.15
BARLEY,BU,16019,16ag90,16,97.93,97.93,73.06,80.98,106.85,65.00,45.15
BARLEY,BU,16023,16ag90,16,96.24,96.24,73.06,80.98,106.85,65.00,45.15
BARLEY,BU,16029,16ag90,16,44.20,44.20,73.06,80.98,106.85,65.00,45.15
BARLEY,BU,16033,16ag90,16,80.36,80.36,73.06,80.98,106.85,65.00,45.15
BARLEY,BU,16037,16ag90,16,87.14,87.14,73.06,80.98,106.85,65.00,45.15
BARLEY,BU,16041,16ag90,16,66.15,66.15,73.06,80.98,106.85,65.00,45.15
BARLEY,BU,30081,30ag10,30,75.96,75.96,59.44,47.81,82.95,43.85,34.50
BARLEY,BU,30029,30ag10,30,59.46,59.46,59.44,47.81,82.95,43.85,34.50
BARLEY,BU,30061,30ag10,30,59.44,,59.44,47.81,82.95,43.85,34.50
BARLEY,BU,30047,30ag10,30,61.81,61.81,59.44,47.81,82.95,43.85,34.50
BARLEY,BU,30089,30ag10,30,59.44,,59.44,47.81,82.95,43.85,34.50
BARLEY,BU,30063,30ag10,30,43.58,43.58,59.44,47.81,82.95,43.85,34.50
BARLEY,BU,30039,30ag10,30,69.60,69.60,59.44,47.81,82.95,43.85,34.50
BARLEY,BU,30023,30ag10,30,59.44,,59.44,47.81,82.95,43.85,34.50
BARLEY,BU,30077,30ag10,30,85.64,85.64,59.44,47.81,82.95,43.85,34.50
BARLEY,BU,30053,30ag10,30,20.00,20.00,59.44,47.81,82.95,43.85,34.50
BARLEY,BU,30099,30ag20,30,62.76,62.76,39.25,47.81,82.95,43.85,34.50
BARLEY,BU,30071,30ag20,30,39.44,39.44,39.25,47.81,82.95,43.85,34.50
BARLEY,BU,30073,30ag20,30,45.86,45.86,39.25,47.81,82.95,43.85,34.50
BARLEY,BU,30035,30ag20,30,31.41,31.41,39.25,47.81,82.95,43.85,34.50
BARLEY,BU,30005,30ag20,30,35.86,35.86,39.25,47.81,82.95,43.85,34.50
BARLEY,BU,30015,30ag20,30,35.07,35.07,39.25,47.81,82.95,43.85,34.50
BARLEY,BU,30101,30ag20,30,35.15,35.15,39.25,47.81,82.95,43.85,34.50
BARLEY,BU,30041,30ag20,30,35.64,35.64,39.25,47.81,82.95,43.85,34.50
BARLEY,BU,30051,30ag20,30,32.09,32.09,39.25,47.81,82.95,43.85,34.50
BARLEY,BU,30085,30ag30,30,37.63,37.63,41.42,47.81,82.95,43.85,34.50
BARLEY,BU,30083,30ag30,30,57.10,57.10,41.42,47.81,82.95,43.85,34.50
BARLEY,BU,30105,30ag30,30,39.60,39.60,41.42,47.81,82.95,43.85,34.50
BARLEY,BU,30021,30ag30,30,46.91,46.91,41.42,47.81,82.95,43.85,34.50
BARLEY,BU,30091,30ag30,30,38.73,38.73,41.42,47.81,82.95,43.85,34.50
BARLEY,BU,30033,30ag30,30,35.73,35.73,41.42,47.81,82.95,43.85,34.50
BARLEY,BU,30019,30ag30,30,40.92,40.92,41.42,47.81,82.95,43.85,34.50
BARLEY,BU,30055,30ag30,30,34.75,34.75,41.42,47.81,82.95,43.85,34.50
BARLEY,BU,30065,30ag50,30,28.53,28.53,38.19,47.81,82.95,43.85,34.50
BARLEY,BU,30059,30ag50,30,41.14,41.14,38.19,47.81,82.95,43.85,34.50
BARLEY,BU,30045,30ag50,30,31.93,31.93,38.19,47.81,82.95,43.85,34.50
BARLEY,BU,30069,30ag50,30,26.11,26.11,38.19,47.81,82.95,43.85,34.50
BARLEY,BU,30049,30ag50,30,66.82,66.82,38.19,47.81,82.95,43.85,34.50
BARLEY,BU,30107,30ag50,30,30.45,30.45,38.19,47.81,82.95,43.85,34.50
BARLEY,BU,30027,30ag50,30,35.94,35.94,38.19,47.81,82.95,43.85,34.50
BARLEY,BU,30007,30ag50,30,55.51,55.51,38.19,47.81,82.95,43.85,34.50
BARLEY,BU,30037,30ag50,30,20.85,20.85,38.19,47.81,82.95,43.85,34.50
BARLEY,BU,30013,30ag50,30,44.63,44.63,38.19,47.81,82.95,43.85,34.50
BARLEY,BU,30031,30ag70,30,49.91,49.91,65.84,47.81,82.95,43.85,34.50
BARLEY,BU,30001,30ag70,30,68.77,68.77,65.84,47.81,82.95,43.85,34.50
BARLEY,BU,30043,30ag70,30,72.78,72.78,65.84,47.81,82.95,43.85,34.50
BARLEY,BU,30057,30ag70,30,71.90,71.90,65.84,47.81,82.95,43.85,34.50
BARLEY,BU,30067,30ag80,30,52.63,52.63,67.96,47.81,82.95,43.85,34.50
BARLEY,BU,30009,30ag80,30,90.30,90.30,67.96,47.81,82.95,43.85,34.50
BARLEY,BU,30097,30ag80,30,29.30,29.30,67.96,47.81,82.95,43.85,34.50
BARLEY,BU,30103,30ag80,30,109.01,109.01,67.96,47.81,82.95,43.85,34.50
BARLEY,BU,30095,30ag80,30,36.48,36.48,67.96,47.81,82.95,43.85,34.50
BARLEY,BU,30111,30ag80,30,79.15,79.15,67.96,47.81,82.95,43.85,34.50
BARLEY,BU,30003,30ag80,30,78.83,78.83,67.96,47.81,82.95,43.85,34.50
BARLEY,BU,30025,30ag90,30,21.11,21.11,37.75,47.81,82.95,43.85,34.50
BARLEY,BU,30109,30ag90,30,31.05,31.05,37.75,47.81,82.95,43.85,34.50
BARLEY,BU,30075,30ag90,30,25.88,25.88,37.75,47.81,82.95,43.85,34.50
BARLEY,BU,30011,30ag90,30,26.29,26.29,37.75,47.81,82.95,43.85,34.50
BARLEY,BU,30079,30ag90,30,37.42,37.42,37.75,47.81,82.95,43.85,34.50
BARLEY,BU,30017,30ag90,30,42.83,42.83,37.75,47.81,82.95,43.85,34.50
BARLEY,BU,30087,30ag90,30,79.66,79.66,37.75,47.81,82.95,43.85,34.50
BARLEY,BU,41053,41ag10,41,75.34,75.34,59.18,62.73,94.45,72.50,47.00
BARLEY,BU,41067,41ag10,41,64.70,64.70,59.18,62.73,94.45,72.50,47.00
BARLEY,BU,41071,41ag10,41,59.18,,59.18,62.73,94.45,72.50,47.00
BARLEY,BU,41047,41ag10,41,64.99,64.99,59.18,62.73,94.45,72.50,47.00
BARLEY,BU,41043,41ag10,41,48.72,48.72,59.18,62.73,94.45,72.50,47.00
BARLEY,BU,41039,41ag10,41,69.16,69.16,59.18,62.73,94.45,72.50,47.00
BARLEY,BU,41009,41ag10,41,58.25,58.25,59.18,62.73,94.45,72.50,47.00
BARLEY,BU,41005,41ag10,41,33.13,33.13,59.18,62.73,94.45,72.50,47.00
BARLEY,BU,41055,41ag20,41,53.85,53.85,42.43,62.73,94.45,72.50,47.00
BARLEY,BU,41065,41ag20,41,48.22,48.22,42.43,62.73,94.45,72.50,47.00
BARLEY,BU,41021,41ag20,41,29.30,29.30,42.43,62.73,94.45,72.50,47.00
BARLEY,BU,41049,41ag20,41,38.36,38.36,42.43,62.73,94.45,72.50,47.00
BARLEY,BU,41001,41ag30,41,79.55,79.55,68.80,62.73,94.45,72.50,47.00
BARLEY,BU,41059,41ag30,41,56.26,56.26,68.80,62.73,94.45,72.50,47.00
BARLEY,BU,41063,41ag30,41,70.24,70.24,68.80,62.73,94.45,72.50,47.00
BARLEY,BU,41061,41ag30,41,69.15,69.15,68.80,62.73,94.45,72.50,47.00
BARLEY,BU,41029,41ag70,41,68.08,68.08,61.99,62.73,94.45,72.50,47.00
BARLEY,BU,41033,41ag70,41,61.99,,61.99,62.73,94.45,72.50,47.00
BARLEY,BU,41019,41ag70,41,55.90,55.90,61.99,62.73,94.45,72.50,47.00
BARLEY,BU,41013,41ag80,41,90.45,,90.45,62.73,94.45,72.50,47.00
BARLEY,BU,41031,41ag80,41,89.90,89.90,90.45,62.73,94.45,72.50,47.00
BARLEY,BU,41035,41ag80,41,96.08,96.08,90.45,62.73,94.45,72.50,47.00
BARLEY,BU,41037,41ag80,41,90.45,,90.45,62.73,94.45,72.50,47.00
BARLEY,BU,41045,41ag80,41,85.37,85.37,90.45,62.73,94.45,72.50,47.00
BEANS,CWT,06045,06ag10,06,11.55,,11.55,19.89,23.15,19.00,18.30
BEANS,CWT,53071,53ag90,53,15.37,15.37,15.65,15.10,23.00,11.80,15.65
BEANS,CWT,53013,53ag90,53,16.98,16.98,15.65,15.10,23.00,11.80,15.65
BEANS,CWT,53075,53ag90,53,15.68,15.68,15.65,15.10,23.00,11.80,15.65
BEANS,CWT,53003,53ag90,53,14.57,14.57,15.65,15.10,23.00,11.80,15.65
BEANS,CWT,53021,53ag50,53,20.22,20.22,21.79,15.10,23.00,11.80,15.65
BEANS,CWT,53043,53ag50,53,18.49,18.49,21.79,15.10,23.00,11.80,15.65
BEANS,CWT,53001,53ag50,53,25.23,25.23,21.79,15.10,23.00,11.80,15.65
BEANS,CWT,53025,53ag50,53,23.20,23.20,21.79,15.10,23.00,11.80,15.65
BEANS,CWT,53051,53ag30,53,14.39,,14.39,15.10,23.00,11.80,15.65
BEANS,CWT,53065,53ag30,53,14.39,,14.39,15.10,23.00,11.80,15.65
BEANS,CWT,53063,53ag30,53,14.39,14.39,14.39,15.10,23.00,11.80,15.65
BEANS,CWT,53047,53ag20,53,16.20,16.20,16.36,15.10,23.00,11.80,15.65
BEANS,CWT,53039,53ag20,53,16.36,,16.36,15.10,23.00,11.80,15.65
BEANS,CWT,53037,53ag20,53,16.36,,16.36,15.10,23.00,11.80,15.65
BEANS,CWT,53007,53ag20,53,16.36,,16.36,15.10,23.00,11.80,15.65
BEANS,CWT,53005,53ag20,53,17.10,17.10,16.36,15.10,23.00,11.80,15.65
BEANS,CWT,53077,53ag20,53,15.77,15.77,16.36,15.10,23.00,11.80,15.65
BEANS,CWT,53031,53ag10,53,8.70,,8.70,15.10,23.00,11.80,15.65
BEANS,CWT,53033,53ag10,53,8.70,,8.70,15.10,23.00,11.80,15.65
BEANS,CWT,53035,53ag10,53,6.00,6.00,8.70,15.10,23.00,11.80,15.65
BEANS,CWT,53073,53ag10,53,21.00,21.00,8.70,15.10,23.00,11.80,15.65
BEANS,CWT,53067,53ag10,53,8.70,,8.70,15.10,23.00,11.80,15.65
BEANS,CWT,53061,53ag10,53,2.65,2.65,8.70,15.10,23.00,11.80,15.65
BEANS,CWT,53059,53ag10,53,8.70,,8.70,15.10,23.00,11.80,15.65
BEANS,CWT,53057,53ag10,53,8.70,,8.70,15.10,23.00,11.80,15.65
BEANS,CWT,53055,53ag10,53,8.70,,8.70,15.10,23.00,11.80,15.65
BEANS,CWT,53069,53ag10,53,8.70,,8.70,15.10,23.00,11.80,15.65
BEANS,CWT,53053,53ag10,53,0.17,0.17,8.70,15.10,23.00,11.80,15.65
BEANS,CWT,53049,53ag10,53,8.70,,8.70,15.10,23.00,11.80,15.65
BEANS,CWT,53045,53ag10,53,8.70,,8.70,15.10,23.00,11.80,15.65
BEANS,CWT,53041,53ag10,53,8.70,,8.70,15.10,23.00,11.80,15.65
BEANS,CWT,53009,53ag10,53,8.70,,8.70,15.10,23.00,11.80,15.65
BEANS,CWT,53011,53ag10,53,8.70,,8.70,15.10,23.00,11.80,15.65
BEANS,CWT,53015,53ag10,53,8.70,,8.70,15.10,23.00,11.80,15.65
BEANS,CWT,53027,53ag10,53,13.67,13.67,8.70,15.10,23.00,11.80,15.65
BEANS,CWT,53029,53ag10,53,8.70,,8.70,15.10,23.00,11.80,15.65
BEANS,CWT,41045,41ag80,41,24.58,24.58,24.18,12.40,25.00,23.20,18.30
BEANS,CWT,41031,41ag80,41,24.18,,24.18,12.40,25.00,23.20,18.30
BEANS,CWT,41017,41ag80,41,23.77,23.77,24.18,12.40,25.00,23.20,18.30
BEANS,CWT,41035,41ag80,41,24.18,,24.18,12.40,25.00,23.20,18.30
BEANS,CWT,41033,41ag70,41,0.68,,0.68,12.40,25.00,23.20,18.30
BEANS,CWT,41029,41ag70,41,0.80,0.80,0.68,12.40,25.00,23.20,18.30
BEANS,CWT,41015,41ag70,41,0.68,,0.68,12.40,25.00,23.20,18.30
BEANS,CWT,41019,41ag70,41,0.55,0.55,0.68,12.40,25.00,23.20,18.30
BEANS,CWT,41011,41ag70,41,0.68,,0.68,12.40,25.00,23.20,18.30
BEANS,CWT,41001,41ag30,41,21.57,,21.57,12.40,25.00,23.20,18.30
BEANS,CWT,41063,41ag30,41,21.57,,21.57,12.40,25.00,23.20,18.30
BEANS,CWT,41059,41ag30,41,21.57,21.57,21.57,12.40,25.00,23.20,18.30
BEANS,CWT,41061,41ag30,41,21.57,,21.57,12.40,25.00,23.20,18.30
BEANS,CWT,41027,41ag20,41,12.40,,,12.40,25.00,23.20,18.30
BEANS,CWT,41065,41ag20,41,12.40,,,12.40,25.00,23.20,18.30
BEANS,CWT,41009,41ag10,41,7.78,,7.78,12.40,25.00,23.20,18.30
BEANS,CWT,41071,41ag10,41,0.01,0.01,7.78,12.40,25.00,23.20,18.30
BEANS,CWT,41067,41ag10,41,7.78,,7.78,12.40,25.00,23.20,18.30
BEANS,CWT,41057,41ag10,41,7.78,,7.78,12.40,25.00,23.20,18.30
BEANS,CWT,41053,41ag10,41,7.78,,7.78,12.40,25.00,23.20,18.30
BEANS,CWT,41051,41ag10,41,7.78,,7.78,12.40,25.00,23.20,18.30
BEANS,CWT,41007,41ag10,41,7.78,,7.78,12.40,25.00,23.20,18.30
BEANS,CWT,41043,41ag10,41,7.78,,7.78,12.40,25.00,23.20,18.30
BEANS,CWT,41041,41ag10,41,7.78,,7.78,12.40,25.00,23.20,18.30
BEANS,CWT,41039,41ag10,41,15.54,15.54,7.78,12.40,25.00,23.20,18.30
BEANS,CWT,41003,41ag10,41,7.78,,7.78,12.40,25.00,23.20,18.30
BEANS,CWT,41005,41ag10,41,7.78,,7.78,12.40,25.00,23.20,18.30
BEANS,CWT,41047,41ag10,41,7.78,,7.78,12.40,25.00,23.20,18.30
BEANS,CWT,30087,30ag90,30,21.14,,21.14,17.32,17.70,,13.30
BEANS,CWT,30079,30ag90,30,26.77,26.77,21.14,17.32,17.70,,13.30
BEANS,CWT,30017,30ag90,30,25.12,25.12,21.14,17.32,17.70,,13.30
BEANS,CWT,30109,30ag90,30,11.52,11.52,21.14,17.32,17.70,,13.30
BEANS,CWT,30009,30ag80,30,24.88,24.88,26.12,17.32,17.70,,13.30
BEANS,CWT,30095,30ag80,30,30.70,30.70,26.12,17.32,17.70,,13.30
BEANS,CWT,30067,30ag80,30,26.12,,26.12,17.32,17.70,,13.30
BEANS,CWT,30103,30ag80,30,26.12,,26.12,17.32,17.70,,13.30
BEANS,CWT,30111,30ag80,30,22.77,22.77,26.12,17.32,17.70,,13.30
BEANS,CWT,30057,30ag70,30,17.32,,,17.32,17.70,,13.30
BEANS,CWT,30031,30ag70,30,17.32,,,17.32,17.70,,13.30
BEANS,CWT,30013,30ag50,30,24.17,,24.17,17.32,17.70,,13.30
BEANS,CWT,30007,30ag50,30,24.17,24.17,24.17,17.32,17.70,,13.30
BEANS,CWT,30049,30ag50,30,24.17,,24.17,17.32,17.70,,13.30
BEANS,CWT,30085,30ag30,30,12.92,12.92,12.12,17.32,17.70,,13.30
BEANS,CWT,30083,30ag30,30,6.04,6.04,12.12,17.32,17.70,,13.30
BEANS,CWT,30105,30ag30,30,9.73,9.73,12.12,17.32,17.70,,13.30
BEANS,CWT,30055,30ag30,30,8.03,8.03,12.12,17.32,17.70,,13.30
BEANS,CWT,30021,30ag30,30,21.67,21.67,12.12,17.32,17.70,,13.30
BEANS,CWT,30019,30ag30,30,13.60,13.60,12.12,17.32,17.70,,13.30
BEANS,CWT,30091,30ag30,30,12.86,12.86,12.12,17.32,17.70,,13.30
BEANS,CWT,30073,30ag20,30,13.19,,13.19,17.32,17.70,,13.30
BEANS,CWT,30071,30ag20,30,13.19,,13.19,17.32,17.70,,13.30
BEANS,CWT,30015,30ag20,30,7.37,7.37,13.19,17.32,17.70,,13.30
BEANS,CWT,30099,30ag20,30,13.19,,13.19,17.32,17.70,,13.30
BEANS,CWT,30005,30ag20,30,19.00,19.00,13.19,17.32,17.70,,13.30
BEANS,CWT,30081,30ag10,30,17.32,,,17.32,17.70,,13.30
BEANS,CWT,30029,30ag10,30,17.32,,,17.32,17.70,,13.30
BEANS,CWT,30063,30ag10,30,17.32,,,17.32,17.70,,13.30
BEANS,CWT,30089,30ag10,30,17.32,,,17.32,17.70,,13.30
BEANS,CWT,16019,16ag90,16,15.56,,15.56,19.90,24.65,21.30,13.15
BEANS,CWT,16005,16ag90,16,15.56,,15.56,19.90,24.65,21.30,13.15
BEANS,CWT,16041,16ag90,16,15.56,15.56,15.56,19.90,24.65,21.30,13.15
BEANS,CWT,16081,16ag90,16,15.56,,15.56,19.90,24.65,21.30,13.15
BEANS,CWT,16059,16ag90,16,15.56,,15.56,19.90,24.65,21.30,13.15
BEANS,CWT,16051,16ag90,16,15.56,,15.56,19.90,24.65,21.30,13.15
BEANS,CWT,16011,16ag90,16,15.56,,15.56,19.90,24.65,21.30,13.15
BEANS,CWT,16031,16ag80,16,25.14,25.14,24.11,19.90,24.65,21.30,13.15
BEANS,CWT,16067,16ag80,16,23.74,23.74,24.11,19.90,24.65,21.30,13.15
BEANS,CWT,16063,16ag80,16,24.11,,24.11,19.90,24.65,21.30,13.15
BEANS,CWT,16053,16ag80,16,24.84,24.84,24.11,19.90,24.65,21.30,13.15
BEANS,CWT,16047,16ag80,16,21.68,21.68,24.11,19.90,24.65,21.30,13.15
BEANS,CWT,16083,16ag80,16,25.16,25.16,24.11,19.90,24.65,21.30,13.15
BEANS,CWT,16087,16ag70,16,28.38,28.38,23.98,19.90,24.65,21.30,13.15
BEANS,CWT,16075,16ag70,16,26.32,26.32,23.98,19.90,24.65,21.30,13.15
BEANS,CWT,16045,16ag70,16,18.18,18.18,23.98,19.90,24.65,21.30,13.15
BEANS,CWT,16039,16ag70,16,23.59,23.59,23.98,19.90,24.65,21.30,13.15
BEANS,CWT,16027,16ag70,16,24.76,24.76,23.98,19.90,24.65,21.30,13.15
BEANS,CWT,16001,16ag70,16,22.28,22.28,23.98,19.90,24.65,21.30,13.15
BEANS,CWT,16073,16ag70,16,24.38,24.38,23.98,19.90,24.65,21.30,13.15
BEANS,CWT,16057,16ag10,16,13.70,13.70,13.42,19.90,24.65,21.30,13.15
BEANS,CWT,16017,16ag10,16,13.42,,13.42,19.90,24.65,21.30,13.15
BEANS,CWT,16061,16ag10,16,9.90,9.90,13.42,19.90,24.65,21.30,13.15
BEANS,CWT,16055,16ag10,16,20.25,20.25,13.42,19.90,24.65,21.30,13.15
BEANS,CWT,16049,16ag10,16,14.82,14.82,13.42,19.90,24.65,21.30,13.15
BEANS,CWT,16035,16ag10,16,8.53,8.53,13.42,19.90,24.65,21.30,13.15
BEANS,CWT,16021,16ag10,16,13.75,13.75,13.42,19.90,24.65,21.30,13.15
BEANS,CWT,16069,16ag10,16,13.02,13.02,13.42,19.90,24.65,21.30,13.15
BEANS,CWT,06083,06ag80,06,19.00,19.00,19.00,19.89,23.15,19.00,18.30
BEANS,CWT,06073,06ag80,06,19.00,,19.00,19.89,23.15,19.00,18.30
