commodity,location,year,reported,irrigated_acres,total_acres,total_production,unit
"TOMATOES, IN THE OPEN",06007,1997,f,,128,,
"VEGETABLES, MIXED",06007,1997,f,,21,,
"VEGETABLES, MIXED, VEGETABLES",06007,1997,f,,21,,
"VEGETABLES, MIXED, VEGETABLES, MIXED",06007,1997,f,,21,,
"VEGETABLES, MIXED, VEGETABLES, MIXED",06007,1997,t,,21,,
VEGETABLE TOTALS,06007,1997,f,816,819,,
"VEGETABLE TOTALS, IN THE OPEN",06007,1997,f,816,819,,
"VEGETABLE TOTALS, IN THE OPEN",06007,1997,t,816,819,,
WHEAT,06007,1997,t,2438,4142,,
WHEAT,06007,1997,f,2438,4142,,
WILD RICE,06007,1997,t,1814,1814,,
WILD RICE,06007,1997,f,1814,1814,,
BEANS,06009,1997,f,,1,,
"BEANS, SNAP",06009,1997,f,,1,,
"BEANS, SNAP",06009,1997,t,,1,,
BERRY TOTALS,06009,1997,t,,4,,
BERRY TOTALS,06009,1997,f,,4,,
CUCUMBERS,06009,1997,t,,1,,
CUCUMBERS,06009,1997,f,,1,,
FLORICULTURE TOTALS,06009,1997,f,,1,,
"FLORICULTURE TOTALS, IN THE OPEN",06009,1997,f,,1,,
"FLORICULTURE TOTALS, IN THE OPEN",06009,1997,t,,1,,
GARLIC,06009,1997,t,,1,,
GARLIC,06009,1997,f,,1,,
HAY,06009,1997,f,114,1116,,
"HAY, SMALL GRAIN",06009,1997,t,,797,,
"HAY, SMALL GRAIN",06009,1997,f,,797,,
"HAY, TAME",06009,1997,f,114,239,,
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",06009,1997,f,114,239,,
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",06009,1997,t,114,239,,
"HAY, WILD",06009,1997,f,,80,,
"HAY, WILD",06009,1997,t,,80,,
HORTICULTURE TOTALS,06009,1997,f,14,14,,
"HORTICULTURE TOTALS, (EXCL CUT TREES)",06009,1997,f,14,14,,
"HORTICULTURE TOTALS, (EXCL CUT TREES), IN THE OPEN",06009,1997,t,14,14,,
"HORTICULTURE TOTALS, (EXCL CUT TREES), IN THE OPEN",06009,1997,f,14,14,,
LETTUCE,06009,1997,f,,5,,
LETTUCE,06009,1997,t,,5,,
MELONS,06009,1997,f,,1,,
"MELONS, CANTALOUP",06009,1997,t,,1,,
"MELONS, CANTALOUP",06009,1997,f,,1,,
NURSERY TOTALS,06009,1997,f,,9,,
"NURSERY TOTALS, IN THE OPEN",06009,1997,t,,9,,
"NURSERY TOTALS, IN THE OPEN",06009,1997,f,,9,,
ONIONS,06009,1997,f,,2,,
"ONIONS, DRY",06009,1997,t,,2,,
"ONIONS, DRY",06009,1997,f,,2,,
PUMPKINS,06009,1997,t,,5,,
PUMPKINS,06009,1997,f,,5,,
SQUASH,06009,1997,t,,1,,
SQUASH,06009,1997,f,,1,,
SWEET CORN,06009,1997,f,,2,,
SWEET CORN,06009,1997,t,,2,,
TOMATOES,06009,1997,f,,3,,
"TOMATOES, IN THE OPEN",06009,1997,t,,3,,
"TOMATOES, IN THE OPEN",06009,1997,f,,3,,
VEGETABLE TOTALS,06009,1997,f,64,66,,
"VEGETABLE TOTALS, IN THE OPEN",06009,1997,t,64,66,,
"VEGETABLE TOTALS, IN THE OPEN",06009,1997,f,64,66,,
BARLEY,06011,1997,f,,310,,
BARLEY,06011,1997,t,,310,,
BEANS,06011,1997,f,11697,11769,,
"BEANS, DRY EDIBLE",06011,1997,f,11697,11769,,
"BEANS, DRY EDIBLE, (EXCL LIMA)",06011,1997,f,7449,7449,,
"BEANS, DRY EDIBLE, (EXCL LIMA)",06011,1997,t,7449,7449,,
"BEANS, DRY EDIBLE, LIMA",06011,1997,f,4248,4320,,
"BEANS, DRY EDIBLE, LIMA",06011,1997,t,4248,4320,,
CORN,06011,1997,f,5835,5835,,
"CORN, GRAIN",06011,1997,t,5362,5362,,
"CORN, GRAIN",06011,1997,f,5362,5362,,
"CORN, SILAGE",06011,1997,t,473,473,,
"CORN, SILAGE",06011,1997,f,473,473,,
COTTON,06011,1997,t,7353,7353,,
COTTON,06011,1997,f,7353,7353,,
CUCUMBERS,06011,1997,t,,1952,,
CUCUMBERS,06011,1997,f,,1952,,
HAY,06011,1997,f,9369,10646,,
"HAY, ALFALFA",06011,1997,t,7123,7849,,
"HAY, ALFALFA",06011,1997,f,7123,7849,,
"HAY, SMALL GRAIN",06011,1997,t,537,1063,,
"HAY, SMALL GRAIN",06011,1997,f,537,1063,,
"HAY, TAME",06011,1997,f,1709,1734,,
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",06011,1997,f,1709,1734,,
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",06011,1997,t,1709,1734,,
HORTICULTURE TOTALS,06011,1997,f,11071,11071,,
"HORTICULTURE TOTALS, (EXCL CUT TREES)",06011,1997,f,11071,11071,,
"HORTICULTURE TOTALS, (EXCL CUT TREES), IN THE OPEN",06011,1997,f,11071,11071,,
"HORTICULTURE TOTALS, (EXCL CUT TREES), IN THE OPEN",06011,1997,t,11071,11071,,
MELONS,06011,1997,f,,709,,
"MELONS, CANTALOUP",06011,1997,t,,120,,
"MELONS, CANTALOUP",06011,1997,f,,120,,
"MELONS, WATERMELON",06011,1997,t,,589,,
"MELONS, WATERMELON",06011,1997,f,,589,,
PUMPKINS,06011,1997,t,,52,,
PUMPKINS,06011,1997,f,,52,,
RICE,06011,1997,t,129430,129430,,
RICE,06011,1997,f,129430,129430,,
SAFFLOWER,06011,1997,t,5204,11362,,
SAFFLOWER,06011,1997,f,5204,11362,,
SORGHUM,06011,1997,f,108,108,,
"SORGHUM, GRAIN",06011,1997,t,108,108,,
"SORGHUM, GRAIN",06011,1997,f,108,108,,
SQUASH,06011,1997,t,,566,,
SQUASH,06011,1997,f,,566,,
SUNFLOWER,06011,1997,t,1056,1188,,
SUNFLOWER,06011,1997,f,1056,1188,,
SWEET CORN,06011,1997,t,,253,,
SWEET CORN,06011,1997,f,,253,,
TOMATOES,06011,1997,f,,25708,,
"TOMATOES, IN THE OPEN",06011,1997,f,,25708,,
"TOMATOES, IN THE OPEN",06011,1997,t,,25708,,
VEGETABLE TOTALS,06011,1997,f,29443,30096,,
"VEGETABLE TOTALS, IN THE OPEN",06011,1997,f,29443,30096,,
"VEGETABLE TOTALS, IN THE OPEN",06011,1997,t,29443,30096,,
WHEAT,06011,1997,f,31206,37682,,
WHEAT,06011,1997,t,31206,37682,,
BARLEY,06013,1997,f,,277,,
BARLEY,06013,1997,t,,277,,
BEDDING PLANT TOTALS,06013,1997,f,,62,,
"BEDDING PLANT TOTALS, IN THE OPEN",06013,1997,t,,62,,
"BEDDING PLANT TOTALS, IN THE OPEN",06013,1997,f,,62,,
BERRY TOTALS,06013,1997,f,,18,,
BERRY TOTALS,06013,1997,t,,18,,
BLACKBERRIES,06013,1997,f,,3,,
"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES",06013,1997,f,,3,,
"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES",06013,1997,t,,3,,
BOYSENBERRIES,06013,1997,f,,4,,
BOYSENBERRIES,06013,1997,t,,4,,
CABBAGE,06013,1997,f,,5,,
"CABBAGE, HEAD",06013,1997,t,,5,,
"CABBAGE, HEAD",06013,1997,f,,5,,
CORN,06013,1997,f,2420,2420,,
"CORN, GRAIN",06013,1997,t,2420,2420,,
"CORN, GRAIN",06013,1997,f,2420,2420,,
CUCUMBERS,06013,1997,f,,12,,
CUCUMBERS,06013,1997,t,,12,,
CUT FLOWERS & CUT CULTIVATED GREENS,06013,1997,f,,26,,
"CUT FLOWERS & CUT CULTIVATED GREENS, IN THE OPEN",06013,1997,f,,26,,
"CUT FLOWERS & CUT CULTIVATED GREENS, IN THE OPEN",06013,1997,t,,26,,
EGGPLANT,06013,1997,f,,1,,
EGGPLANT,06013,1997,t,,1,,
FLORICULTURE TOTALS,06013,1997,f,,130,,
"FLORICULTURE TOTALS, IN THE OPEN",06013,1997,t,,130,,
"FLORICULTURE TOTALS, IN THE OPEN",06013,1997,f,,130,,
HAY,06013,1997,f,4917,7324,,
"HAY, ALFALFA",06013,1997,t,3184,3374,,
"HAY, ALFALFA",06013,1997,f,3184,3374,,
HAYLAGE,06013,1997,t,,437,,
HAYLAGE,06013,1997,f,,437,,
"HAY, SMALL GRAIN",06013,1997,t,,1631,,
"HAY, SMALL GRAIN",06013,1997,f,,1631,,
"HAY, TAME",06013,1997,f,1733,1818,,
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",06013,1997,t,1733,1818,,
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",06013,1997,f,1733,1818,,
"HAY, WILD",06013,1997,t,,501,,
"HAY, WILD",06013,1997,f,,501,,
HORTICULTURE TOTALS,06013,1997,f,236,236,,
"HORTICULTURE TOTALS, (EXCL CUT TREES)",06013,1997,f,236,236,,
"HORTICULTURE TOTALS, (EXCL CUT TREES), IN THE OPEN",06013,1997,f,236,236,,
"HORTICULTURE TOTALS, (EXCL CUT TREES), IN THE OPEN",06013,1997,t,236,236,,
MELONS,06013,1997,f,,32,,
"MELONS, CANTALOUP",06013,1997,t,,14,,
"MELONS, CANTALOUP",06013,1997,f,,14,,
"MELONS, WATERMELON",06013,1997,f,,18,,
"MELONS, WATERMELON",06013,1997,t,,18,,
NURSERY TOTALS,06013,1997,f,,66,,
"NURSERY TOTALS, IN THE OPEN",06013,1997,f,,66,,
"NURSERY TOTALS, IN THE OPEN",06013,1997,t,,66,,
ONIONS,06013,1997,f,,59,,
"ONIONS, DRY",06013,1997,f,,59,,
"ONIONS, DRY",06013,1997,t,,59,,
PUMPKINS,06013,1997,t,,117,,
PUMPKINS,06013,1997,f,,117,,
SAFFLOWER,06013,1997,f,105,855,,
SAFFLOWER,06013,1997,t,105,855,,
SQUASH,06013,1997,t,,29,,
SQUASH,06013,1997,f,,29,,
SWEET CORN,06013,1997,t,,2227,,
SWEET CORN,06013,1997,f,,2227,,
TOMATOES,06013,1997,f,,3611,,
"TOMATOES, IN THE OPEN",06013,1997,t,,3611,,
"TOMATOES, IN THE OPEN",06013,1997,f,,3611,,
"VEGETABLES, OTHER",06013,1997,f,,2,,
"VEGETABLES, OTHER, VEGETABLES",06013,1997,f,,2,,
"VEGETABLES, OTHER, VEGETABLES, OTHER",06013,1997,t,,2,,
"VEGETABLES, OTHER, VEGETABLES, OTHER",06013,1997,f,,2,,
VEGETABLE TOTALS,06013,1997,f,7794,7807,,
"VEGETABLE TOTALS, IN THE OPEN",06013,1997,f,7794,7807,,
"VEGETABLE TOTALS, IN THE OPEN",06013,1997,t,7794,7807,,
WHEAT,06013,1997,f,1323,1323,,
WHEAT,06013,1997,t,1323,1323,,
BULBS & CORMS & RHIZOMES & TUBERS,06015,1997,f,,450,,
"BULBS & CORMS & RHIZOMES & TUBERS, DRY",06015,1997,f,,450,,
"BULBS & CORMS & RHIZOMES & TUBERS, DRY, IN THE OPEN",06015,1997,f,,450,,
"BULBS & CORMS & RHIZOMES & TUBERS, DRY, IN THE OPEN",06015,1997,t,,450,,
HAY,06015,1997,f,519,725,,
HAYLAGE,06015,1997,t,1800,1800,,
HAYLAGE,06015,1997,f,1800,1800,,
"HAY, TAME",06015,1997,f,519,725,,
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",06015,1997,t,519,725,,
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",06015,1997,f,519,725,,
HORTICULTURE TOTALS,06015,1997,f,460,460,,
"HORTICULTURE TOTALS, (EXCL CUT TREES)",06015,1997,f,460,460,,
"HORTICULTURE TOTALS, (EXCL CUT TREES), IN THE OPEN",06015,1997,t,460,460,,
"HORTICULTURE TOTALS, (EXCL CUT TREES), IN THE OPEN",06015,1997,f,460,460,,
BEANS,06017,1997,f,,1,,
"BEANS, SNAP",06017,1997,t,,1,,
"BEANS, SNAP",06017,1997,f,,1,,
BEDDING PLANT TOTALS,06017,1997,f,,5,,
"BEDDING PLANT TOTALS, IN THE OPEN",06017,1997,f,,5,,
"BEDDING PLANT TOTALS, IN THE OPEN",06017,1997,t,,5,,
BERRY TOTALS,06017,1997,t,,26,,
BERRY TOTALS,06017,1997,f,,26,,
BLACKBERRIES,06017,1997,f,,6,,
"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES",06017,1997,f,,6,,
"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES",06017,1997,t,,6,,
BOYSENBERRIES,06017,1997,t,,9,,
BOYSENBERRIES,06017,1997,f,,9,,
CUCUMBERS,06017,1997,t,,1,,
CUCUMBERS,06017,1997,f,,1,,
CUT FLOWERS & CUT CULTIVATED GREENS,06017,1997,f,,6,,
"CUT FLOWERS & CUT CULTIVATED GREENS, IN THE OPEN",06017,1997,f,,6,,
"CUT FLOWERS & CUT CULTIVATED GREENS, IN THE OPEN",06017,1997,t,,6,,
FLORICULTURE TOTALS,06017,1997,f,,15,,
"FLORICULTURE TOTALS, IN THE OPEN",06017,1997,t,,15,,
"FLORICULTURE TOTALS, IN THE OPEN",06017,1997,f,,15,,
HAY,06017,1997,f,,22,,
"HAY, WILD",06017,1997,f,,22,,
"HAY, WILD",06017,1997,t,,22,,
HERBS,06017,1997,f,,3,,
"HERBS, FRESH CUT",06017,1997,f,,3,,
"HERBS, FRESH CUT",06017,1997,t,,3,,
HORTICULTURE TOTALS,06017,1997,f,285,285,,
"HORTICULTURE TOTALS, (EXCL CUT TREES)",06017,1997,f,285,285,,
"HORTICULTURE TOTALS, (EXCL CUT TREES), IN THE OPEN",06017,1997,f,285,285,,
"HORTICULTURE TOTALS, (EXCL CUT TREES), IN THE OPEN",06017,1997,t,285,285,,
LETTUCE,06017,1997,t,,2,,
LETTUCE,06017,1997,f,,2,,
NURSERY TOTALS,06017,1997,f,,22,,
"NURSERY TOTALS, IN THE OPEN",06017,1997,t,,22,,
"NURSERY TOTALS, IN THE OPEN",06017,1997,f,,22,,
POTATOES,06017,1997,f,2,2,,
POTATOES,06017,1997,t,2,2,,
PUMPKINS,06017,1997,t,,38,,
PUMPKINS,06017,1997,f,,38,,
RASPBERRIES,06017,1997,f,,8,,
RASPBERRIES,06017,1997,t,,8,,
SQUASH,06017,1997,f,,13,,
SQUASH,06017,1997,t,,13,,
SWEET CORN,06017,1997,t,,5,,
SWEET CORN,06017,1997,f,,5,,
TOMATOES,06017,1997,f,,31,,
"TOMATOES, IN THE OPEN",06017,1997,t,,31,,
"TOMATOES, IN THE OPEN",06017,1997,f,,31,,
"VEGETABLES, OTHER",06017,1997,f,,4,,
"VEGETABLES, OTHER, VEGETABLES",06017,1997,f,,4,,
"VEGETABLES, OTHER, VEGETABLES, OTHER",06017,1997,f,,4,,
"VEGETABLES, OTHER, VEGETABLES, OTHER",06017,1997,t,,4,,
VEGETABLE TOTALS,06017,1997,f,110,113,,
"VEGETABLE TOTALS, IN THE OPEN",06017,1997,t,110,113,,
"VEGETABLE TOTALS, IN THE OPEN",06017,1997,f,110,113,,
ASPARAGUS,06019,1997,t,,2306,,
ASPARAGUS,06019,1997,f,,2306,,
BARLEY,06019,1997,t,6261,6897,,
BARLEY,06019,1997,f,6261,6897,,
BEANS,06019,1997,f,14008,14888,,
"BEANS, DRY EDIBLE",06019,1997,f,14008,14008,,
"BEANS, DRY EDIBLE, (EXCL LIMA)",06019,1997,t,6388,6388,,
"BEANS, DRY EDIBLE, (EXCL LIMA)",06019,1997,f,6388,6388,,
"BEANS, DRY EDIBLE, LIMA",06019,1997,t,7620,7620,,
"BEANS, DRY EDIBLE, LIMA",06019,1997,f,7620,7620,,
"BEANS, GREEN",06019,1997,f,,444,,
"BEANS, GREEN, LIMA",06019,1997,t,,444,,
"BEANS, GREEN, LIMA",06019,1997,f,,444,,
"BEANS, SNAP",06019,1997,t,,436,,
"BEANS, SNAP",06019,1997,f,,436,,
BEDDING PLANT TOTALS,06019,1997,f,,45,,
"BEDDING PLANT TOTALS, IN THE OPEN",06019,1997,t,,45,,
"BEDDING PLANT TOTALS, IN THE OPEN",06019,1997,f,,45,,
BEETS,06019,1997,t,,5,,
BEETS,06019,1997,f,,5,,
BERRY TOTALS,06019,1997,t,,385,,
BERRY TOTALS,06019,1997,f,,385,,
BOYSENBERRIES,06019,1997,t,,124,,
BOYSENBERRIES,06019,1997,f,,124,,
BROCCOLI,06019,1997,t,,6362,,
BROCCOLI,06019,1997,f,,6362,,
CABBAGE,06019,1997,f,,723,,
"CABBAGE, CHINESE",06019,1997,t,,448,,
"CABBAGE, CHINESE",06019,1997,f,,448,,
"CABBAGE, HEAD",06019,1997,t,,275,,
"CABBAGE, HEAD",06019,1997,f,,275,,
CARROTS,06019,1997,t,,433,,
CARROTS,06019,1997,f,,433,,
CAULIFLOWER,06019,1997,f,,3,,
CAULIFLOWER,06019,1997,t,,3,,
CELERY,06019,1997,f,,6,,
CELERY,06019,1997,t,,6,,
CORN,06019,1997,f,28774,28774,,
"CORN, GRAIN",06019,1997,f,6407,6407,,
"CORN, GRAIN",06019,1997,t,6407,6407,,
"CORN, SILAGE",06019,1997,f,22367,22367,,
"CORN, SILAGE",06019,1997,t,22367,22367,,
COTTON,06019,1997,t,351527,351527,,
COTTON,06019,1997,f,351527,351527,,
CUCUMBERS,06019,1997,t,,198,,
CUCUMBERS,06019,1997,f,,198,,
DAIKON,06019,1997,t,,55,,
DAIKON,06019,1997,f,,55,,
EGGPLANT,06019,1997,t,,1144,,
EGGPLANT,06019,1997,f,,1144,,
FLORICULTURE TOTALS,06019,1997,f,,49,,
"FLORICULTURE TOTALS, IN THE OPEN",06019,1997,f,,49,,
"FLORICULTURE TOTALS, IN THE OPEN",06019,1997,t,,49,,
GARLIC,06019,1997,f,,19949,,
GARLIC,06019,1997,t,,19949,,
GREENS,06019,1997,f,,86,,
"GREENS, COLLARD",06019,1997,f,,16,,
"GREENS, COLLARD",06019,1997,t,,16,,
"GREENS, KALE",06019,1997,f,,20,,
"GREENS, KALE",06019,1997,t,,20,,
"GREENS, MUSTARD",06019,1997,t,,38,,
"GREENS, MUSTARD",06019,1997,f,,38,,
"GREENS, TURNIP",06019,1997,t,,12,,
"GREENS, TURNIP",06019,1997,f,,12,,
HAY,06019,1997,f,74655,77627,,
"HAY, ALFALFA",06019,1997,t,65084,65261,,
"HAY, ALFALFA",06019,1997,f,65084,65261,,
HAYLAGE,06019,1997,f,16329,16389,,
HAYLAGE,06019,1997,t,16329,16389,,
"HAY, SMALL GRAIN",06019,1997,t,7198,8823,,
