location,year,irrigated,non_irrigated,pasture,value,dataitem
06005,2013,f,f,t,14,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06005,2014,t,f,f,155,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06005,2014,f,t,f,19,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06005,2014,f,f,t,14,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06007,2008,t,f,f,235,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06007,2009,t,f,f,330,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06007,2010,t,f,f,277,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06007,2010,f,t,f,40.5,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06007,2010,f,f,t,11,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06007,2011,t,f,f,265,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06007,2011,f,t,f,41.5,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06007,2011,f,f,t,11.5,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06007,2012,t,f,f,236,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06007,2012,f,f,t,9.4,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06007,2013,t,f,f,307,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06007,2013,f,t,f,38,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06007,2013,f,f,t,13,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06007,2014,t,f,f,305,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06007,2014,f,t,f,29.5,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06007,2014,f,f,t,19.5,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06009,2009,f,f,t,17,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06009,2010,t,f,f,300,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06009,2010,f,t,f,31,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06009,2010,f,f,t,16,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06009,2011,t,f,f,277,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06009,2011,f,t,f,30,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06009,2011,f,f,t,13,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06009,2012,f,f,t,17,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06009,2013,t,f,f,250,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06009,2013,f,t,f,14.5,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06009,2013,f,f,t,17.5,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06009,2014,f,f,t,22,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06011,2008,t,f,f,220,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06011,2009,t,f,f,267,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06011,2009,f,f,t,12,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06011,2010,t,f,f,261,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06011,2010,f,t,f,72.5,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06011,2010,f,f,t,11,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06011,2011,t,f,f,261,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06011,2011,f,t,f,59,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06011,2011,f,f,t,11,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06011,2012,t,f,f,263,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06011,2012,f,f,t,9,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06011,2013,t,f,f,270,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06011,2013,f,f,t,8,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06011,2014,t,f,f,265,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06011,2014,f,f,t,14,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06013,2009,t,f,f,237,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06013,2009,f,t,f,27,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06013,2009,f,f,t,15,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06013,2010,t,f,f,207,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06013,2010,f,t,f,22,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06013,2010,f,f,t,17.5,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06013,2011,t,f,f,206,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06013,2011,f,f,t,11,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06013,2012,t,f,f,185,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06013,2012,f,f,t,14.5,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06013,2013,t,f,f,156,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06013,2013,f,t,f,17,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06013,2013,f,f,t,16.5,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06013,2014,t,f,f,180,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06013,2014,f,t,f,18,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06013,2014,f,f,t,16.5,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06017,2010,f,f,t,13,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06017,2011,f,t,f,40,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06017,2011,f,f,t,12,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06017,2012,f,f,t,8.1,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06017,2013,f,f,t,12,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06019,2008,t,f,f,220,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06019,2008,f,f,t,22,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06019,2009,t,f,f,221,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06019,2009,f,t,f,55,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06019,2009,f,f,t,14,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06019,2010,t,f,f,220,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06019,2010,f,t,f,51,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06019,2010,f,f,t,16,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06019,2011,t,f,f,239,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06019,2011,f,t,f,46.5,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06019,2011,f,f,t,14.5,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06019,2012,t,f,f,251,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06019,2012,f,t,f,36,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06019,2013,t,f,f,258,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06019,2013,f,t,f,43.5,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06019,2013,f,f,t,10.5,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06019,2014,t,f,f,292,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06019,2014,f,t,f,60,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06019,2014,f,f,t,13,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06021,2008,t,f,f,169,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06021,2009,t,f,f,244,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06021,2009,f,f,t,22,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06021,2010,t,f,f,244,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06021,2010,f,t,f,36,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06021,2010,f,f,t,22,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06021,2011,t,f,f,261,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06021,2011,f,t,f,51,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06021,2011,f,f,t,13,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06021,2012,t,f,f,239,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06021,2012,f,f,t,17.5,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06021,2013,t,f,f,220,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06021,2013,f,t,f,43.5,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06021,2013,f,f,t,26.5,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06021,2014,t,f,f,222,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06021,2014,f,t,f,23,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06021,2014,f,f,t,18.5,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06023,2009,f,f,t,14,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06023,2010,t,f,f,335,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06023,2011,t,f,f,333,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06023,2011,f,t,f,52.5,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06023,2012,t,f,f,315,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06023,2012,f,f,t,15,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06023,2013,t,f,f,293,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06023,2013,f,f,t,28,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06023,2014,t,f,f,320,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06025,2008,t,f,f,205,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06025,2009,t,f,f,208,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06025,2010,t,f,f,291,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06025,2011,t,f,f,268,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06025,2012,t,f,f,250,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06025,2013,t,f,f,291,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06025,2014,t,f,f,285,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06027,2009,f,f,t,13,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06027,2011,t,f,f,182,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06027,2011,f,f,t,11,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06027,2012,f,f,t,4.7,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06027,2013,f,f,t,4.6,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06027,2014,f,f,t,8.8,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06029,2008,t,f,f,248,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06029,2008,f,f,t,6,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06029,2009,t,f,f,224,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06029,2009,f,f,t,10,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06029,2010,t,f,f,179,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06029,2010,f,f,t,7.1,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06029,2011,t,f,f,202,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06029,2011,f,t,f,63.5,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06029,2012,t,f,f,200,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06029,2012,f,t,f,40,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06029,2012,f,f,t,6.5,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06029,2013,t,f,f,203,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06029,2013,f,t,f,29,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06029,2013,f,f,t,5.9,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06029,2014,t,f,f,341,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06029,2014,f,f,t,5.5,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06031,2008,t,f,f,145,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06031,2009,t,f,f,177,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06031,2009,f,t,f,60,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06031,2010,t,f,f,185,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06031,2011,t,f,f,212,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06031,2011,f,t,f,66.5,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06031,2011,f,f,t,16.5,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06031,2012,t,f,f,295,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06031,2012,f,t,f,48.5,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06031,2013,t,f,f,375,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06031,2014,t,f,f,350,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06033,2012,f,f,t,7.4,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06035,2009,f,f,t,12,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06035,2011,t,f,f,178,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06035,2011,f,f,t,12,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06035,2012,t,f,f,136,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06035,2012,f,f,t,9.5,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06035,2013,f,f,t,8.1,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06035,2014,f,t,f,13,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06035,2014,f,f,t,10.5,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06037,2010,t,f,f,950,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06037,2011,t,f,f,942,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06037,2012,t,f,f,1200,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06037,2013,t,f,f,600,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06037,2014,t,f,f,590,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06039,2009,t,f,f,283,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06039,2010,t,f,f,201,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06039,2010,f,t,f,51.5,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06039,2011,t,f,f,201,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06039,2012,t,f,f,220,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06039,2012,f,t,f,32.5,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06039,2012,f,f,t,13,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06039,2013,t,f,f,280,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06039,2013,f,t,f,25,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06039,2014,t,f,f,307,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06039,2014,f,t,f,21.5,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06039,2014,f,f,t,13.5,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06041,2009,t,f,f,550,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06041,2009,f,f,t,20,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06041,2010,t,f,f,467,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06041,2010,f,t,f,33,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
